seq,timestamp_us,ax_mg,ay_mg,az_mg,gx_dps,gy_dps,gz_dps,temp_c
0,25739129,-769.04,-559.08,-364.26,-2.32,-5.55,-0.79,33.68
1,25743194,-731.93,-580.57,-345.21,-6.83,-2.93,-1.40,33.64
2,25747243,-756.84,-565.43,-387.70,-0.98,2.07,3.23,33.49
3,25751295,-746.09,-571.78,-365.23,0.24,-3.35,4.33,33.83
4,25755344,-777.83,-554.20,-325.68,1.16,-0.37,6.22,33.68
5,25759393,-774.41,-559.08,-350.59,-1.46,-0.79,4.02,33.83
6,25765789,-777.83,-553.71,-353.03,-0.06,-1.28,1.83,33.59
7,25769838,-781.25,-557.62,-341.80,-1.65,-1.16,-1.89,33.83
8,25773887,-759.77,-565.43,-355.96,-2.74,-0.79,-2.32,33.83
9,25777945,-759.28,-565.92,-358.89,-1.10,-0.43,-1.28,33.68
10,25781994,-763.18,-570.80,-349.61,0.12,-0.67,0.06,33.59
11,25786044,-765.14,-565.92,-348.14,-0.18,-0.85,0.67,33.64
12,25791789,-760.74,-562.50,-347.66,-0.73,-0.61,0.98,33.97
13,25795838,-768.55,-563.48,-347.66,-0.67,-0.85,0.91,33.68
14,25799887,-767.09,-559.57,-347.17,-0.85,-1.10,0.79,33.78
15,25803945,-759.28,-561.52,-353.03,-1.10,-0.55,1.10,33.64
16,25807994,-768.55,-562.99,-356.93,-0.37,-0.79,0.73,33.68
17,25813789,-768.55,-558.11,-352.05,0.24,-0.85,0.06,33.88
18,25817838,-766.11,-553.22,-342.77,0.30,-0.85,-1.04,33.59
19,25821887,-770.51,-559.57,-354.00,-0.12,-0.43,-2.07,33.59
20,25825945,-764.65,-556.15,-350.59,-0.24,-0.67,-2.80,33.44
21,25829994,-757.81,-561.04,-348.63,-0.06,-0.24,-2.80,33.59
22,25835789,-763.18,-567.87,-349.61,0.37,0.00,-2.44,33.64
23,25839838,-763.67,-554.69,-346.19,1.10,-0.12,-2.38,33.83
24,25843887,-767.09,-558.59,-345.70,1.10,0.18,-2.68,33.78
25,25847945,-779.30,-560.55,-352.54,1.28,0.24,-3.66,33.68
26,25851994,-774.41,-558.59,-350.59,1.52,0.00,-5.18,33.68
27,25857789,-770.51,-552.25,-345.21,1.52,0.55,-6.28,33.59
28,25861838,-780.27,-560.06,-353.52,2.01,0.49,-8.05,33.49
29,25865887,-768.07,-561.04,-345.70,2.01,-0.18,-9.09,33.64
30,25869945,-765.62,-566.41,-345.21,1.52,-0.12,-10.00,33.88
31,25873994,-760.74,-571.78,-351.07,1.10,0.24,-9.39,33.83
32,25879789,-751.46,-565.92,-348.14,1.28,-0.61,-8.11,33.78
33,25883838,-746.09,-570.31,-342.77,1.16,-0.55,-5.43,33.44
34,25887887,-750.98,-573.24,-351.56,0.12,-0.55,-3.23,33.78
35,25891945,-749.02,-567.38,-344.73,-0.73,-0.98,-0.98,33.59
36,25897789,-746.58,-570.80,-344.73,-0.91,-0.73,1.16,33.78
37,25901838,-756.84,-569.82,-347.17,-1.22,-0.98,3.48,33.83
38,25905887,-751.95,-560.55,-346.19,-1.89,-1.34,4.09,33.35
39,25909945,-752.93,-566.89,-342.29,-2.62,-1.10,4.70,33.83
40,25913994,-761.72,-573.24,-344.24,-3.72,-1.04,4.88,33.68
41,25919789,-755.86,-567.38,-346.68,-4.63,-1.22,5.55,33.78
42,25923838,-773.44,-565.43,-349.12,-5.43,-3.48,6.52,33.78
43,25927887,-767.58,-570.31,-334.96,-4.39,-4.33,6.10,33.64
44,25931945,-761.72,-561.52,-321.29,-8.78,-5.43,5.61,33.68
45,25935994,-750.49,-576.66,-350.59,-10.91,-3.66,6.16,33.68
46,25941789,-760.74,-576.66,-366.21,-7.07,-0.55,8.96,33.88
47,25945838,-750.49,-564.94,-344.24,-5.24,0.67,10.06,33.64
48,25949887,-788.57,-550.78,-296.39,-10.91,-1.16,8.72,33.83
49,25953945,-769.04,-569.34,-375.00,-18.54,-2.93,7.01,33.78
50,25957994,-775.39,-568.85,-397.95,-18.11,-6.59,8.78,33.88
51,25963789,-732.91,-562.50,-302.73,-12.38,7.13,13.05,33.88
52,25967838,-771.00,-564.94,-403.32,-25.85,-17.32,7.99,33.97
53,25971887,-771.00,-556.15,-344.73,-19.57,-14.57,8.84,33.83
54,25975945,-765.62,-559.08,-341.31,-17.38,-5.73,8.17,33.64
