seq,timestamp_us,ax_mg,ay_mg,az_mg,gx_dps,gy_dps,gz_dps,temp_c
0,14521037,-183.11,-956.54,-281.25,0.73,-0.67,0.55,32.73
1,14525104,-189.94,-955.57,-283.69,0.00,-0.06,0.61,32.92
2,14529153,-182.62,-955.08,-276.86,-0.55,-0.67,0.85,33.06
3,14533202,-182.62,-955.08,-276.86,-0.37,-0.43,0.18,33.11
4,14537251,-177.25,-958.50,-289.06,-0.73,-0.55,0.18,33.11
5,14541303,-183.59,-954.59,-280.27,-0.37,-0.30,0.49,33.11
6,14545352,-181.15,-955.08,-273.93,-0.91,-0.73,0.55,33.11
7,14549401,-181.64,-960.45,-284.18,-0.61,-0.49,0.98,33.11
8,14553453,-183.11,-961.91,-280.76,-0.24,-0.37,1.22,33.16
9,14557502,-181.64,-958.01,-279.30,-0.73,-0.61,1.28,32.92
10,14563788,-183.59,-961.91,-286.13,-0.73,-0.61,1.89,32.97
11,14567837,-182.13,-955.57,-279.30,0.12,-0.43,2.32,33.11
12,14571886,-184.08,-956.05,-277.34,-0.55,-0.18,2.62,33.06
13,14575944,-179.69,-958.01,-289.06,-0.61,-0.73,2.56,33.11
14,14579993,-180.18,-957.03,-275.88,-0.06,-0.24,2.93,33.11
15,14584043,-184.08,-959.47,-276.86,-0.49,-0.55,2.68,33.11
16,14589788,-185.06,-962.40,-278.81,-0.85,-0.61,2.44,33.25
17,14593837,-183.11,-959.47,-280.76,-0.49,-0.37,2.26,32.92
18,14597886,-192.87,-955.57,-275.39,-0.12,-0.43,2.44,33.11
19,14601944,-181.15,-955.08,-281.25,-0.49,-0.43,2.20,33.11
20,14605993,-184.08,-955.57,-278.32,-0.55,-0.55,2.62,33.11
21,14611788,-179.20,-958.01,-282.23,-0.55,-0.49,2.56,33.25
22,14615837,-187.99,-958.98,-281.74,-0.55,-0.67,2.80,33.11
23,14619886,-182.62,-957.52,-280.76,-0.61,-0.67,2.93,33.11
24,14623944,-184.57,-961.91,-278.81,-0.43,-0.43,2.87,33.11
25,14627993,-184.57,-952.64,-276.86,-0.73,-0.55,2.56,32.92
26,14633788,-185.06,-957.52,-286.62,-0.67,-0.55,2.80,33.06
27,14637837,-188.96,-958.50,-273.44,-0.30,-0.55,2.26,33.11
28,14641886,-183.11,-958.98,-286.13,-1.04,-0.55,1.95,32.73
29,14645944,-183.59,-954.59,-279.30,-0.43,-0.91,1.83,33.06
30,14651788,-180.18,-955.57,-284.18,-0.79,-0.30,1.71,33.16
31,14655837,-184.08,-949.22,-283.69,-0.55,-0.49,1.83,33.11
32,14659886,-184.08,-955.08,-276.86,-0.91,-0.98,1.40,33.25
33,14663944,-187.99,-958.50,-286.62,-1.28,-0.85,1.65,32.92
34,14667993,-185.55,-959.96,-284.18,-0.79,-0.49,1.22,33.16
35,14673788,-188.48,-955.08,-275.39,-0.61,-0.43,1.34,33.16
36,14677837,-182.13,-956.05,-284.18,-1.10,-0.73,1.28,33.16
37,14681886,-179.20,-954.10,-285.64,-0.85,-0.37,2.07,33.16
38,14685944,-181.15,-959.96,-277.34,-0.67,-0.79,2.32,32.92
39,14689993,-183.59,-960.45,-286.13,-0.85,-0.73,3.41,33.11
40,14695788,-190.92,-957.52,-284.18,-0.24,-0.61,3.84,33.11
41,14699837,-186.04,-958.98,-276.86,-0.67,-0.55,4.27,32.82
42,14703886,-184.57,-962.89,-284.67,-0.73,-0.61,5.00,33.25
43,14707944,-183.59,-955.57,-281.25,0.06,-0.91,5.30,33.06
44,14711993,-188.48,-963.38,-274.41,2.50,4.02,5.00,33.11
45,14717788,-133.30,-976.07,-144.04,-11.34,-9.57,0.12,33.25
46,14721837,-260.74,-916.99,-167.97,10.30,-1.10,6.59,33.11
47,14725886,-150.39,-977.54,-330.08,-15.30,-5.91,-0.91,33.25
48,14729944,-179.69,-955.08,-275.39,4.51,3.05,10.18,33.16
49,14733993,-193.36,-951.66,-266.60,-1.28,-1.34,8.11,32.97
50,14739788,-195.31,-950.68,-273.44,-3.48,-3.17,5.91,33.11
51,14743837,-195.80,-958.98,-307.62,2.01,0.55,8.23,33.16
52,14747886,-213.38,-945.80,-259.77,0.61,-0.12,6.34,33.25
53,14751944,-196.78,-957.52,-287.60,-2.07,-1.28,2.56,33.11
54,14755993,-194.82,-953.12,-294.43,-0.18,-0.37,2.62,33.11
55,14761788,-195.80,-948.24,-279.79,0.12,-0.55,2.01,33.06
56,14765837,-192.87,-957.52,-284.18,-0.37,-0.43,1.16,32.77
57,14769886,-191.41,-957.03,-284.18,-0.24,-0.37,0.85,33.16
58,14773944,-190.43,-949.71,-279.79,-0.49,-0.67,0.85,33.06
59,14777993,-186.52,-953.61,-277.83,-0.49,-0.49,1.46,32.82
60,14783788,-193.36,-956.54,-285.64,-0.55,-0.73,2.44,32.73
61,14787837,-187.01,-953.61,-274.90,-0.55,-0.91,2.99,32.82
62,14791886,-186.04,-956.05,-284.67,-0.73,-0.73,3.90,33.25
63,14795944,-189.94,-957.03,-277.83,-0.43,-0.43,4.33,33.11
64,14799993,-185.06,-955.57,-270.02,-2.62,-1.16,4.45,32.82
65,14805788,-182.13,-962.40,-293.95,-1.89,-1.22,5.79,33.11
66,14809837,-189.45,-957.03,-276.86,-0.18,-0.85,7.87,33.16
67,14813886,-200.20,-958.50,-279.79,-1.10,-0.98,7.87,33.30
68,14817944,-202.64,-957.52,-276.86,-1.34,-1.28,7.38,33.16
69,14821993,-200.20,-954.59,-280.27,-1.59,-0.91,7.13,32.92
70,14827788,-199.71,-948.24,-274.90,-1.83,-0.98,6.46,33.11
71,14831837,-191.89,-960.94,-290.04,-0.79,0.18,6.77,33.06
72,14835886,-193.36,-951.66,-284.67,1.28,2.74,8.05,33.35
73,14839944,-190.92,-949.71,-269.53,0.79,2.26,8.23,33.16
74,14843993,-198.24,-955.57,-284.67,0.06,1.34,8.60,33.11
75,14849788,-206.05,-952.15,-273.93,-0.79,0.30,8.11,32.92
76,14853837,-196.29,-954.10,-281.25,-0.61,-0.12,7.62,33.11
77,14857886,-200.68,-957.52,-289.55,-1.16,-0.24,7.74,32.92
78,14861944,-201.17,-955.08,-277.83,-0.18,-0.30,7.26,33.25
79,14865993,-203.61,-948.24,-278.81,-1.10,-0.18,6.59,32.97
80,14871788,-202.64,-949.71,-285.16,0.06,0.37,6.59,33.11
81,14875837,-203.12,-950.20,-280.76,-0.30,0.43,5.98,33.30
82,14879886,-204.59,-951.66,-279.79,-0.85,-0.37,5.24,33.06
83,14883944,-207.52,-952.64,-283.69,-0.67,-0.18,5.00,33.16
84,14889788,-214.36,-950.68,-280.76,-0.43,-0.12,4.02,33.11
85,14893837,-204.59,-950.68,-279.79,-1.04,-0.61,2.56,33.30
86,14897886,-205.57,-952.15,-283.20,-0.79,-0.61,1.65,33.11
87,14901944,-209.47,-953.12,-280.76,-0.49,-0.55,1.10,32.97
88,14905993,-206.05,-951.17,-278.81,-0.43,-0.18,0.49,33.06
89,14911788,-207.52,-951.17,-279.30,-0.61,-0.37,-0.30,33.11
90,14915837,-201.66,-951.17,-283.20,-0.67,-0.67,-0.55,33.16
91,14919886,-209.47,-950.68,-275.88,-0.43,0.00,-0.30,33.06
92,14923944,-202.64,-948.24,-281.25,-0.98,-0.73,-0.67,32.97
93,14927993,-201.17,-955.08,-281.25,-0.85,-0.61,-0.12,33.11
94,14933788,-204.10,-953.61,-279.79,-0.55,-0.43,0.49,33.11
95,14937837,-202.15,-950.68,-284.67,-0.85,-0.67,0.79,33.25
96,14941886,-202.64,-954.10,-283.20,-0.79,-0.61,1.04,33.11
97,14945944,-203.61,-956.05,-279.79,-0.43,-0.55,1.10,32.92
98,14949993,-203.61,-950.68,-280.27,-0.98,-0.67,0.98,33.25
99,14955788,-202.64,-951.17,-284.18,-0.67,-0.55,0.85,33.35
