seq,timestamp_us,ax_mg,ay_mg,az_mg,gx_dps,gy_dps,gz_dps,temp_c
0,25609386,969.73,-227.54,-13.67,0.73,1.46,0.12,34.02
1,25613453,971.19,-216.31,-7.81,0.61,0.79,0.49,33.88
2,25619788,974.61,-221.68,-9.77,0.06,-0.12,1.59,33.97
3,25623837,978.52,-221.19,-16.60,-0.79,-0.18,1.83,34.02
4,25627886,978.03,-226.56,-16.60,-0.73,0.12,1.89,33.68
5,25631944,971.19,-223.63,-17.09,-0.85,0.12,1.77,34.02
6,25635993,972.66,-219.73,-11.72,-0.85,0.18,1.71,33.88
7,25640043,979.00,-220.70,-14.16,-0.55,0.00,1.71,33.68
8,25645788,977.05,-227.54,-12.21,-0.55,0.30,1.52,33.88
9,25649837,982.42,-232.42,-11.23,-0.37,0.30,1.28,34.02
10,25653886,981.93,-230.47,-13.67,-0.55,0.12,1.40,33.88
11,25657944,978.03,-232.91,-13.18,-0.98,0.00,2.01,33.83
12,25661993,980.96,-229.98,-16.11,-1.10,-0.12,2.01,33.68
13,25667788,982.42,-234.86,-14.65,-0.73,0.00,2.13,33.88
14,25671837,978.03,-232.42,-10.25,-0.43,-0.24,1.59,34.02
15,25675886,985.35,-225.10,-9.28,-0.12,-0.43,1.65,33.88
16,25679944,986.82,-224.12,-10.25,0.18,-0.79,1.95,33.97
17,25683993,981.93,-222.17,-3.42,0.18,-0.85,2.62,33.83
18,25689788,974.12,-220.70,-10.74,-0.06,-0.43,2.80,34.21
19,25693837,967.77,-216.80,-12.70,-0.18,0.00,2.26,33.88
20,25697886,974.61,-207.03,-12.70,-0.18,0.61,2.13,33.88
21,25701944,975.10,-210.94,-11.72,0.18,1.04,2.38,34.02
22,25705993,976.56,-216.31,-12.21,0.18,1.40,2.50,34.02
23,25711788,978.52,-213.87,-13.18,0.18,1.40,2.99,34.12
24,25715837,974.61,-224.61,-13.18,-0.06,0.30,3.54,33.88
25,25719886,974.12,-223.14,-19.04,-0.49,-0.43,3.23,33.83
26,25723944,983.89,-225.10,-22.95,-0.67,-0.37,2.32,34.02
27,25727993,981.45,-233.89,-19.04,-1.10,0.43,1.40,34.02
28,25733788,979.98,-234.86,-15.14,-1.10,0.85,0.37,34.02
29,25737837,992.68,-235.84,-9.28,-0.61,0.49,-0.37,33.88
30,25741886,997.56,-235.84,-8.30,-0.24,0.24,0.18,33.68
31,25745944,993.65,-230.47,-9.77,0.67,0.12,0.18,33.88
32,25751788,981.93,-227.05,-6.35,0.85,-0.30,0.30,33.88
33,25755837,974.61,-226.07,-11.72,0.73,-0.61,0.43,33.64
34,25759886,972.17,-235.35,-13.18,0.73,-0.55,1.04,33.88
35,25763944,973.63,-219.73,1.95,0.00,-0.67,0.79,33.64
36,25767993,974.12,-239.75,21.97,4.15,0.43,2.87,34.12
37,25772043,959.47,-249.02,3.91,0.06,3.17,-1.89,34.12
38,25777788,986.82,-203.61,-22.46,0.24,1.34,1.40,33.88
39,25781837,968.75,-232.91,-6.84,-2.13,-0.85,3.54,34.21
40,25785886,989.26,-232.91,-11.72,-1.34,-1.52,1.89,33.88
41,25789944,998.05,-239.75,-23.44,-0.55,0.06,1.89,33.68
42,25795788,993.16,-235.84,-10.25,-0.30,-0.06,0.91,33.83
43,25799837,981.45,-225.59,-9.77,-0.12,-0.18,0.67,33.83
44,25803886,982.42,-227.05,-10.74,-0.73,-1.10,0.24,34.02
45,25807944,990.23,-229.00,-8.30,-1.04,-1.22,0.67,34.21
46,25811993,986.82,-232.91,-8.30,-0.98,-1.40,0.55,33.88
47,25817788,979.49,-221.68,-9.28,-0.55,-1.28,0.61,33.59
48,25821837,975.59,-230.96,-12.70,-0.49,-0.85,0.12,33.68
49,25825886,974.12,-227.54,-13.18,-0.55,-0.67,-0.91,33.88
50,25829944,981.93,-231.45,-7.32,-0.24,-0.85,-0.85,33.88
51,25833993,976.07,-231.45,-10.74,-0.18,-0.73,-1.16,33.68
52,25839788,977.54,-228.52,-16.60,0.18,-0.43,-1.59,33.68
53,25843837,974.61,-229.00,-10.74,0.49,-0.37,-1.28,33.68
