seq,timestamp_us,ax_mg,ay_mg,az_mg,gx_dps,gy_dps,gz_dps,temp_c
0,35032394,-49.80,-607.91,-803.22,1.34,-0.61,-2.62,34.21
1,35036458,-46.39,-600.59,-802.25,0.98,-0.79,-0.85,34.12
2,35040508,-53.71,-599.61,-799.80,-0.06,-0.79,0.67,34.02
3,35044557,-48.83,-597.66,-807.13,-1.22,-1.95,1.83,33.97
4,35048606,-48.83,-597.66,-807.13,-1.22,-2.01,3.48,34.21
5,35052655,-66.41,-597.66,-797.85,-1.46,-2.50,4.33,33.97
6,35056704,-61.04,-602.54,-803.22,-2.13,-3.05,4.09,33.88
7,35060758,-67.87,-604.49,-800.78,-2.56,-3.48,3.84,34.02
8,35064809,-66.89,-613.77,-811.04,-2.62,-3.90,3.35,33.83
9,35068858,-68.36,-617.68,-819.34,-1.95,-3.35,3.11,34.02
10,35074790,-66.41,-624.02,-810.55,-0.55,-2.07,2.68,34.02
11,35078839,-70.80,-606.45,-813.96,0.37,-1.46,1.46,34.21
12,35082888,-68.85,-604.49,-807.13,0.79,-1.52,0.85,33.97
13,35086946,-68.36,-605.96,-804.20,1.16,-1.65,0.12,34.12
14,35090995,-68.36,-609.38,-798.34,1.71,-1.71,-0.37,34.02
15,35096790,-67.87,-612.30,-796.87,2.62,-1.89,-0.85,34.36
16,35100839,-68.36,-604.98,-791.99,2.56,-1.16,-1.16,34.21
17,35104888,-65.92,-604.98,-792.97,2.32,-1.16,-1.04,34.02
18,35108946,-66.89,-599.12,-790.53,2.07,-0.98,-1.04,33.78
19,35112995,-62.99,-599.61,-789.55,1.71,-1.52,-0.49,33.88
20,35118790,-66.41,-603.03,-789.55,1.04,-2.20,0.12,34.02
21,35122839,-65.92,-599.12,-781.25,0.00,-2.87,0.18,34.02
22,35126888,-57.62,-596.19,-784.18,-0.61,-2.68,0.18,33.97
23,35130946,-58.11,-603.03,-780.76,-1.34,-2.44,0.98,34.02
24,35134995,-58.11,-610.84,-783.69,-1.46,-1.95,1.34,34.40
25,35140790,-58.11,-628.91,-786.13,-1.16,-1.28,0.73,34.31
26,35144839,-57.13,-630.37,-793.95,0.00,-0.67,-0.06,34.02
27,35148888,-62.99,-620.61,-798.34,0.61,-0.30,-0.91,34.02
28,35152946,-64.94,-601.07,-791.50,-0.06,-0.18,-1.40,34.12
29,35156995,-56.15,-595.70,-790.04,-0.73,0.06,-1.59,34.21
30,35162790,-57.62,-591.31,-778.81,-1.95,0.18,-1.10,34.02
31,35166839,-51.27,-589.36,-777.83,-2.87,0.24,0.30,34.21
32,35170888,-55.18,-599.12,-778.81,-3.29,0.30,1.40,34.21
33,35174946,-58.59,-606.93,-782.71,-3.35,0.43,2.20,34.12
34,35180790,-55.18,-612.79,-790.53,-2.87,0.43,2.13,34.12
35,35184839,-55.66,-617.19,-795.90,-2.32,0.18,1.89,34.16
36,35188888,-59.08,-618.16,-802.73,-1.10,0.43,1.40,34.12
37,35192946,-56.15,-619.14,-803.71,-0.73,0.06,1.16,34.31
38,35196995,-55.18,-621.58,-804.69,0.18,0.06,1.04,34.02
39,35201044,-56.64,-620.12,-805.18,1.10,0.24,0.37,34.12
40,35206790,-63.96,-625.49,-804.69,1.77,-0.06,-0.98,34.02
41,35210839,-64.45,-623.05,-801.76,2.38,-1.16,-1.59,33.83
42,35214888,-59.57,-619.63,-798.34,2.44,-1.52,-2.13,34.21
43,35218946,-60.06,-608.40,-797.36,1.89,-2.13,-2.32,34.21
44,35224790,-58.59,-606.45,-800.29,1.34,-2.26,-1.52,34.02
45,35228839,-59.57,-610.84,-796.87,-0.18,-2.20,-0.30,33.88
