seq,timestamp_us,ax_mg,ay_mg,az_mg,gx_dps,gy_dps,gz_dps,temp_c
0,12010430,624.51,136.23,-750.00,-0.98,-0.67,0.37,33.35
1,12014497,627.44,145.02,-746.58,-0.91,-0.79,-0.18,33.06
2,12018546,631.35,143.07,-752.93,-0.55,-0.79,0.37,33.35
3,12024790,637.21,142.09,-766.11,-0.18,0.43,1.40,33.49
4,12028839,625.49,135.74,-741.70,-1.46,-1.16,0.43,33.44
5,12032888,624.51,135.74,-747.07,-0.55,-0.73,-0.43,33.49
6,12036946,623.54,144.04,-748.54,-0.37,-0.67,0.18,33.35
7,12040995,633.79,137.21,-767.09,-0.18,-1.04,0.79,33.16
8,12045044,627.44,139.16,-751.95,-1.16,-0.91,-0.37,33.49
9,12050790,620.12,139.16,-742.68,-1.16,-1.40,-0.67,33.49
10,12054839,627.93,148.93,-760.25,-0.18,-0.73,0.37,33.59
11,12058888,632.32,141.11,-750.49,-0.67,-0.61,0.73,33.49
12,12062946,625.98,133.79,-747.07,-1.34,-0.98,-0.49,33.25
13,12066995,622.56,148.44,-747.56,-0.73,-0.73,-0.43,33.64
14,12072790,625.98,143.07,-758.79,-0.37,-0.55,0.98,33.59
15,12076839,632.32,136.23,-751.46,-1.16,-0.67,-0.06,33.49
16,12080888,624.51,143.55,-750.49,-0.85,-0.73,-0.30,33.30
17,12084946,622.56,144.53,-757.81,-0.37,-0.85,0.30,33.11
18,12088995,626.46,142.09,-753.42,-0.85,-0.61,0.49,33.49
19,12094790,625.98,138.67,-747.07,-1.22,-0.85,-0.24,33.44
20,12098839,631.84,144.04,-750.00,-0.73,-0.98,-0.06,33.30
21,12102888,625.98,140.62,-755.37,-0.61,-0.73,0.43,33.68
22,12106946,629.88,141.60,-752.44,-0.67,-0.73,0.12,33.35
23,12110995,624.02,138.67,-750.00,-0.61,-0.61,0.24,33.35
24,12116790,626.46,140.14,-753.42,-0.61,-0.61,0.30,33.35
25,12120839,629.39,140.62,-756.35,-0.67,-0.61,0.55,33.64
26,12124888,629.39,136.72,-751.46,-0.98,-0.79,0.43,33.59
27,12128946,626.46,144.53,-752.93,-1.04,-1.10,0.00,33.44
28,12132995,628.42,140.62,-755.37,-0.67,-0.85,0.12,33.25
29,12138790,624.51,134.28,-752.44,-0.61,-0.73,0.61,33.25
30,12142839,624.51,133.30,-740.72,-1.16,-1.10,-0.37,33.35
31,12146888,626.46,140.14,-752.93,-0.98,-0.85,-0.24,33.35
32,12150946,625.98,137.21,-757.81,-0.79,-0.73,0.43,33.49
33,12156790,627.44,137.21,-752.93,-0.85,-0.98,0.12,33.35
34,12160839,628.91,142.58,-756.84,-0.67,-0.37,-0.12,33.30
35,12164888,624.02,143.07,-753.91,-0.73,-0.79,0.49,33.11
36,12168946,624.02,142.09,-756.35,-0.43,-0.61,0.24,33.11
37,12172995,625.49,141.11,-750.98,-0.79,-0.79,0.37,33.35
38,12178790,628.42,141.11,-744.63,-1.28,-0.73,0.24,33.35
39,12182839,625.98,145.51,-755.86,-0.73,-0.91,0.00,33.49
40,12186888,626.46,144.04,-756.84,-0.49,-0.73,0.37,33.16
41,12190946,626.46,143.07,-754.39,-0.73,-0.91,0.24,33.59
42,12194995,627.93,141.60,-753.42,-0.67,-0.79,0.06,33.44
43,12200790,622.07,145.51,-750.49,-0.55,-0.24,0.43,33.35
44,12204839,625.98,136.23,-750.98,-0.91,-0.61,0.67,33.49
45,12208888,628.42,139.16,-749.02,-0.91,-0.91,0.00,33.35
46,12212946,629.39,143.55,-752.93,-0.79,-0.73,0.24,33.64
47,12216995,624.51,144.04,-753.42,-0.73,-0.55,0.55,33.49
48,12222790,632.32,139.65,-748.54,-0.91,-0.61,-0.06,33.49
49,12226839,625.00,143.55,-752.93,-0.61,-0.55,0.37,33.49
50,12230888,621.09,141.60,-752.44,-0.79,-0.67,0.43,33.30
51,12234946,629.88,139.65,-751.95,-1.16,-0.91,0.24,33.49
52,12238995,630.86,141.60,-753.42,-0.98,-0.79,0.00,33.35
53,12244790,624.51,143.07,-753.42,-0.98,-0.85,0.06,33.59
54,12248839,631.35,142.09,-756.35,-0.73,-0.85,0.06,33.59
55,12252888,628.91,145.02,-753.42,-0.55,-0.61,0.12,33.35
56,12256946,626.95,141.60,-750.00,-0.67,-0.49,0.18,33.49
57,12260995,626.95,140.14,-750.98,-0.61,-0.73,0.06,33.35
58,12266790,628.91,143.55,-752.44,-0.43,-0.61,0.43,33.49
59,12270839,625.49,138.67,-749.02,-1.10,-0.67,0.67,33.44
60,12274888,629.39,137.70,-751.95,-0.91,-0.67,0.24,33.49
61,12278946,626.95,139.65,-754.88,-0.30,-0.67,0.24,33.35
62,12282995,625.00,136.23,-750.49,-0.79,-0.61,0.55,33.64
63,12288790,627.93,137.21,-752.93,-0.61,-0.73,0.12,33.44
64,12292839,628.42,139.16,-751.95,-0.61,-0.73,0.24,33.35
65,12296888,626.95,139.16,-752.44,-0.85,-0.61,0.37,33.44
66,12300946,625.49,141.11,-751.46,-1.16,-1.16,-0.12,33.25
67,12304995,625.00,146.48,-756.84,-0.91,-0.67,0.06,33.35
68,12310790,629.39,140.62,-749.51,-0.91,-0.49,0.30,33.44
69,12314839,631.35,139.16,-754.39,-0.85,-0.91,0.00,33.64
70,12318888,632.81,146.00,-753.91,-0.85,-0.55,0.12,33.35
71,12322946,624.51,141.60,-751.46,-0.79,-0.85,0.06,33.25
72,12326995,625.98,144.04,-750.49,-1.10,-1.16,0.00,33.49
73,12332790,625.49,145.02,-756.35,-0.67,-0.91,0.00,33.59
74,12336839,630.37,141.60,-752.93,-0.91,-0.67,0.18,33.11
75,12340888,629.88,140.62,-754.39,-0.49,-0.85,0.06,33.35
76,12344946,629.39,146.97,-751.95,-0.67,-0.43,0.30,33.35
77,12348995,626.46,144.04,-751.95,-0.79,-0.73,0.55,33.30
78,12354790,632.32,145.51,-753.42,-0.91,-0.79,0.12,33.59
79,12358839,628.42,143.07,-752.44,-0.91,-0.55,0.43,33.35
80,12362888,632.32,136.23,-753.42,-0.85,-0.79,0.49,33.16
81,12366946,626.95,142.58,-751.95,-0.91,-0.85,0.37,33.59
82,12372790,625.98,145.02,-750.00,-0.49,-0.55,0.55,33.25
83,12376839,624.51,139.65,-750.98,-0.85,-0.61,0.55,33.35
84,12380888,627.44,139.65,-757.81,-0.79,-0.98,0.12,33.11
85,12384946,634.77,135.74,-754.88,-0.55,-0.61,0.30,33.49
86,12388995,631.84,137.21,-749.51,-0.79,-0.91,0.30,33.35
87,12394790,628.91,145.02,-754.88,-0.61,-0.61,0.12,33.64
88,12398839,625.00,143.07,-753.91,-0.79,-0.79,0.37,33.35
89,12402888,623.54,140.62,-752.93,-1.10,-0.98,0.12,33.35
90,12406946,632.32,138.18,-756.84,-0.91,-0.73,0.00,33.44
91,12410995,624.02,136.72,-753.91,-0.91,-0.73,0.30,33.44
92,12416790,630.86,139.16,-749.02,-0.91,-0.79,0.18,33.49
93,12420839,627.93,142.09,-750.98,-0.61,-0.55,0.12,33.25
94,12424888,628.91,142.09,-752.93,-0.49,-0.55,0.43,33.25
95,12428946,625.00,139.16,-752.93,-0.79,-0.79,0.24,33.64
96,12432995,626.46,139.65,-749.51,-0.85,-0.73,0.37,33.59
97,12438790,628.91,139.16,-752.44,-0.67,-0.55,0.30,33.16
98,12442839,631.84,136.23,-752.44,-1.10,-0.79,0.24,33.49
99,12446888,626.95,139.65,-756.84,-0.85,-0.61,0.24,33.35
100,12450946,629.39,143.55,-755.37,-0.85,-0.98,0.12,33.49
101,12454995,627.93,140.14,-751.46,-0.79,-1.04,-0.37,33.35
102,12460790,625.98,151.37,-758.30,-0.79,-0.91,-0.06,33.59
103,12464839,625.49,143.55,-749.02,-0.85,-0.91,0.30,33.64
104,12468888,626.46,140.14,-752.93,-0.79,-0.91,0.12,33.64
105,12472946,624.02,141.11,-754.88,-0.73,-0.85,0.24,33.59
106,12476995,626.95,143.55,-752.44,-0.79,-0.73,0.55,33.35
107,12482790,628.42,143.07,-751.95,-0.79,-0.73,0.30,33.59
108,12486839,629.88,139.65,-751.46,-0.73,-0.61,0.37,33.16
109,12490888,629.88,141.11,-750.00,-0.73,-0.67,0.49,33.35
110,12494946,629.39,140.62,-752.44,-0.85,-0.79,0.24,33.16
111,12498995,632.32,141.60,-755.37,-0.79,-0.61,0.43,33.78
112,12504790,630.86,139.16,-753.42,-0.98,-0.79,0.18,33.49
113,12508839,627.44,139.65,-752.93,-0.73,-0.85,0.12,33.11
114,12512888,631.35,144.04,-754.39,-0.73,-0.61,0.00,33.35
115,12516946,625.98,141.60,-752.44,-0.85,-0.67,0.30,33.25
116,12520995,628.91,139.65,-750.98,-0.79,-0.73,0.18,33.49
117,12526790,626.46,142.58,-755.86,-0.73,-0.55,0.24,33.25
118,12530839,627.44,140.14,-751.46,-0.79,-0.67,0.18,33.30
119,12534888,629.39,139.16,-751.46,-0.91,-0.61,0.18,33.35
120,12538946,632.81,144.53,-756.84,-0.37,-0.67,0.24,33.30
121,12542995,625.98,135.25,-750.00,-0.49,-0.61,0.24,33.49
122,12548790,630.37,142.58,-758.79,-0.98,-0.98,0.12,33.59
123,12552839,628.42,140.62,-751.95,-0.55,-0.91,0.37,33.49
124,12556888,631.35,137.21,-750.49,-0.67,-0.79,0.30,33.49
125,12560946,625.49,142.58,-751.46,-1.16,-0.61,-0.12,33.35
126,12564995,625.49,146.00,-756.35,-0.67,-0.85,0.06,33.44
127,12570790,625.49,141.60,-752.44,-0.73,-0.91,0.24,33.30
128,12574839,624.51,142.09,-752.44,-0.67,-0.91,0.12,33.59
129,12578888,624.51,135.25,-753.91,-0.61,-0.49,0.24,33.68
130,12582946,624.51,135.25,-754.39,-0.85,-0.98,0.37,33.59
131,12586995,624.51,141.11,-754.88,-0.67,-0.79,0.00,33.35
132,12592790,626.95,141.60,-756.35,-0.61,-0.73,0.43,32.97
133,12596839,622.56,142.09,-750.98,-0.91,-0.61,0.12,33.25
134,12600888,625.00,143.07,-754.88,-0.73,-0.85,-0.06,33.44
135,12604946,627.93,139.16,-753.91,-0.73,-0.61,0.18,33.35
136,12610790,625.49,135.74,-752.44,-1.04,-0.55,0.00,33.16
137,12614839,629.39,139.65,-753.91,-0.49,-0.98,0.12,33.78
138,12618888,631.84,143.55,-752.44,-0.85,-0.79,0.30,33.25
139,12622946,627.44,145.02,-749.51,-0.79,-1.16,0.00,33.30
140,12626995,625.00,146.48,-751.95,-0.98,-0.85,-0.43,33.64
141,12632790,629.39,144.04,-751.95,-0.61,-0.67,0.18,33.49
142,12636839,628.42,138.67,-750.49,-1.04,-1.04,0.12,33.35
143,12640888,630.37,144.04,-757.81,-0.67,-1.04,-0.06,33.30
144,12644946,624.02,143.07,-755.86,-0.61,-0.67,0.24,33.68
145,12648995,628.91,139.16,-747.07,-0.98,-0.73,0.24,33.35
146,12654790,630.37,143.07,-755.86,-0.73,-0.73,0.24,33.49
147,12658839,627.93,138.18,-753.91,-0.79,-0.55,0.67,33.35
148,12662888,625.98,139.65,-753.42,-1.04,-0.79,0.43,33.11
149,12666946,626.95,144.53,-749.02,-0.73,-0.61,0.06,33.49
150,12670995,632.32,138.18,-753.91,-0.67,-0.49,0.37,33.44
151,12676790,628.91,136.72,-749.51,-0.85,-1.10,0.06,33.35
152,12680839,628.91,144.04,-753.42,-0.73,-0.73,0.06,33.49
153,12684888,627.44,135.74,-753.91,-0.67,-0.37,0.55,33.59
154,12688946,633.79,135.74,-752.93,-0.91,-0.73,0.43,33.35
155,12692995,633.30,140.62,-755.86,-0.55,-0.85,0.18,33.49
156,12698790,624.51,142.09,-752.44,-0.85,-0.67,0.55,33.59
157,12702839,628.91,140.14,-748.54,-0.98,-0.73,0.24,33.44
158,12706888,631.35,140.62,-749.02,-0.79,-0.49,0.18,33.35
159,12710946,627.93,140.62,-753.42,-0.43,-0.37,0.55,33.35
160,12714995,624.51,139.16,-749.51,-0.73,-0.79,0.49,33.59
161,12720790,631.35,142.58,-752.44,-0.61,-0.73,0.30,33.44
162,12724839,627.93,143.55,-750.98,-0.73,-0.79,0.37,33.44
163,12728888,625.98,139.16,-752.93,-0.79,-0.73,0.12,33.49
164,12732946,629.39,143.07,-755.86,-0.67,-0.91,0.06,33.16
165,12736995,626.46,143.55,-755.37,-0.91,-0.67,0.24,33.30
166,12742790,624.51,137.21,-750.00,-0.98,-0.91,0.00,33.25
167,12746839,629.88,147.46,-753.42,-0.85,-0.73,0.12,33.35
168,12750888,631.84,138.18,-753.42,-0.98,-0.55,0.43,33.44
169,12754946,629.39,136.72,-749.02,-0.98,-0.49,0.37,33.35
170,12758995,628.42,142.09,-754.88,-0.30,-0.67,0.37,33.49
171,12764790,627.44,142.09,-755.86,-0.73,-0.67,0.43,33.35
172,12768839,624.51,139.65,-754.88,-0.98,-0.79,0.12,33.59
173,12772888,625.49,142.09,-753.42,-0.73,-0.73,0.18,33.49
174,12776946,631.35,146.00,-750.98,-1.04,-1.22,0.06,33.06
175,12780995,625.98,140.14,-753.42,-0.85,-0.85,-0.06,33.35
176,12786790,628.42,140.62,-755.86,-0.79,-0.85,0.00,33.30
177,12790839,621.09,141.60,-752.44,-0.79,-0.79,0.24,33.44
178,12794888,626.46,140.14,-754.39,-0.61,-0.91,0.24,33.49
179,12798946,628.42,145.51,-752.93,-0.79,-0.61,0.12,33.35
180,12802995,624.02,138.18,-750.98,-0.73,-0.67,0.55,33.44
181,12808790,624.51,143.55,-749.51,-0.73,-0.67,0.43,33.30
182,12812839,625.98,139.16,-752.93,-0.73,-0.49,0.18,33.25
183,12816888,626.46,137.21,-753.42,-0.67,-0.61,0.37,33.35
184,12820946,628.91,143.55,-749.51,-0.98,-0.67,0.43,33.35
185,12826790,628.42,143.07,-758.79,-0.67,-0.55,0.18,33.44
186,12830839,627.44,135.74,-751.46,-0.73,-0.79,0.06,33.59
187,12834888,630.37,137.21,-754.39,-0.73,-0.61,0.12,33.35
188,12838946,625.49,142.58,-754.88,-0.91,-0.91,0.12,33.35
189,12842995,626.46,134.77,-747.07,-0.79,-0.79,0.24,33.35
190,12848790,631.35,146.48,-754.88,-0.61,-1.04,0.30,33.44
191,12852839,627.44,140.14,-751.95,-0.85,-0.37,0.30,33.64
192,12856888,630.37,139.16,-755.86,-0.67,-1.04,0.30,33.16
193,12860946,625.98,142.09,-751.46,-0.67,-0.67,-0.06,33.35
194,12864995,625.98,141.11,-751.95,-0.85,-1.16,0.43,33.35
195,12870790,629.88,140.62,-749.02,-0.61,-0.85,-0.06,33.25
196,12874839,625.00,144.04,-754.88,-0.55,-0.91,-0.18,33.16
197,12878888,625.98,140.62,-753.91,-0.67,-1.04,0.12,33.11
198,12882946,626.95,140.62,-750.49,-0.79,-0.98,-0.18,33.49
199,12886995,624.51,140.62,-756.84,-0.61,-0.49,0.18,33.44
