seq,timestamp_us,ax_mg,ay_mg,az_mg,gx_dps,gy_dps,gz_dps,temp_c
0,35834322,-83.50,-116.70,-999.51,-2.93,0.30,-3.29,33.44
1,35838384,-83.98,-111.82,-998.05,-2.87,-1.10,-2.56,33.64
2,35842433,-83.98,-109.86,-997.56,-3.11,-1.40,-2.80,33.35
3,35848790,-73.24,-114.26,-996.09,-3.11,-1.10,-4.45,33.35
4,35852839,-76.66,-127.93,-998.54,-3.05,0.37,-6.34,33.16
5,35856888,-79.10,-124.51,-1001.95,-2.26,0.85,-7.93,33.35
6,35860946,-81.54,-124.02,-996.09,-1.95,1.10,-7.44,33.35
7,35864995,-90.82,-121.09,-995.61,-2.32,-0.12,-5.79,33.35
8,35869044,-88.38,-111.33,-983.89,-2.01,-1.22,-3.60,33.35
9,35874790,-93.26,-106.45,-972.17,-2.07,-2.80,-1.65,33.49
10,35878839,-86.91,-107.42,-969.24,-1.46,-3.41,0.06,33.59
11,35882888,-83.01,-104.00,-967.29,-1.10,-3.54,0.61,33.59
12,35886946,-86.91,-106.45,-969.24,-1.10,-2.93,0.79,33.35
13,35890995,-86.91,-101.07,-972.17,-1.40,-3.05,1.28,33.59
14,35896790,-91.80,-105.47,-976.07,-0.55,-2.68,2.80,33.49
15,35900839,-90.33,-107.42,-976.56,1.04,-1.89,3.17,33.49
16,35904888,-83.01,-106.93,-977.05,1.65,-1.77,3.48,33.35
17,35908946,-81.05,-108.89,-984.86,2.32,-0.91,3.29,33.49
18,35912995,-80.57,-115.72,-980.96,2.26,0.12,2.32,33.49
19,35918790,-74.22,-115.23,-984.86,2.62,0.55,1.77,33.64
20,35922839,-75.20,-120.12,-986.82,2.74,0.12,2.07,33.06
21,35926888,-77.64,-125.98,-980.96,2.74,-0.79,2.99,33.59
22,35930946,-76.66,-116.21,-979.98,2.44,-2.13,4.21,33.44
23,35934995,-76.66,-115.23,-990.23,1.89,-2.56,4.15,33.49
24,35940790,-68.85,-122.07,-1004.88,0.73,-1.95,1.83,33.30
25,35944839,-68.36,-128.91,-1019.53,0.43,-0.37,-3.23,33.25
26,35948888,-78.61,-128.91,-1024.41,0.18,0.12,-5.00,33.44
27,35952946,-87.40,-127.93,-1021.48,0.06,-1.04,-5.00,33.49
28,35958790,-97.66,-121.58,-1002.44,0.00,-3.84,-3.72,33.68
29,35962839,-94.73,-109.86,-984.37,-0.55,-6.59,-1.95,33.44
30,35966888,-84.47,-111.82,-979.98,-1.59,-7.26,-1.59,33.11
31,35970946,-80.08,-115.23,-978.52,-2.32,-6.40,-2.07,33.68
32,35974995,-81.54,-117.68,-980.96,-1.89,-5.73,-2.80,33.44
33,35980790,-87.89,-119.63,-979.00,-1.65,-5.79,-2.87,33.49
34,35984839,-87.40,-124.51,-980.47,-0.85,-5.49,-2.07,33.68
35,35988888,-82.52,-125.49,-984.86,-0.37,-4.33,-2.20,33.25
36,35992946,-85.94,-130.86,-983.89,-0.24,-3.23,-2.68,33.44
37,35996995,-78.61,-128.91,-987.30,0.37,-1.46,-3.17,33.49
38,36002790,-77.64,-128.91,-988.77,0.43,0.37,-3.66,33.25
39,36006839,-82.52,-123.54,-986.33,0.55,0.43,-2.07,33.64
40,36010888,-86.43,-122.07,-981.93,0.73,0.37,-0.91,33.44
41,36014946,-83.50,-115.72,-977.05,0.67,0.24,-0.30,33.64
42,36018995,-83.98,-121.58,-979.98,0.55,0.30,-0.06,33.44
43,36024790,-88.38,-122.07,-979.98,0.98,-0.18,0.00,33.44
44,36028839,-90.82,-123.05,-983.89,1.46,-0.37,0.55,33.78
45,36032888,-85.94,-121.58,-988.28,1.95,-0.79,0.06,33.59
46,36036946,-76.66,-125.49,-993.65,2.50,-0.12,-0.98,33.35
47,36040995,-71.29,-129.39,-1000.49,2.32,1.22,-3.23,33.68
48,36046790,-66.89,-139.16,-1006.84,2.07,2.80,-6.22,33.16
49,36050839,-75.68,-148.93,-998.54,1.40,2.26,-7.80,33.68
50,36054888,-81.05,-141.60,-998.05,0.55,0.79,-6.40,33.64
51,36058946,-87.89,-130.37,-994.14,-1.34,-1.52,-3.60,33.49
52,36062995,-93.75,-123.05,-989.26,-4.09,-3.35,-0.91,33.35
53,36068790,-93.75,-115.23,-982.91,-6.16,-4.76,0.67,33.64
54,36072839,-89.84,-116.70,-977.05,-7.07,-5.98,2.13,33.44
55,36076888,-84.96,-123.54,-969.24,-6.46,-5.91,1.89,33.68
56,36080946,-76.66,-129.39,-975.10,-5.49,-4.88,0.67,33.11
57,36084995,-79.59,-131.84,-976.07,-3.54,-2.99,-0.79,33.44
58,36090790,-77.15,-129.39,-981.45,-1.65,-0.91,-2.32,33.49
59,36094839,-81.54,-135.74,-989.26,0.55,1.65,-3.60,33.44
60,36098888,-78.61,-132.32,-993.65,1.71,3.78,-4.27,33.35
61,36102946,-78.12,-134.77,-1000.00,2.32,5.61,-5.91,33.16
62,36106995,-83.01,-129.39,-993.65,2.62,6.22,-7.07,33.68
63,36112790,-86.43,-122.56,-995.12,2.26,5.98,-6.65,33.49
64,36116839,-89.84,-115.72,-981.93,0.37,3.90,-5.12,33.49
65,36120888,-83.98,-121.58,-975.59,-1.04,2.26,-3.84,33.35
66,36124946,-86.43,-115.72,-974.61,-2.13,0.67,-2.44,33.35
67,36128995,-84.96,-121.58,-979.98,-3.41,-0.49,-0.91,33.68
68,36134790,-83.50,-121.09,-976.07,-4.63,-2.26,0.43,33.35
69,36138839,-81.54,-116.70,-976.07,-5.24,-3.05,2.26,33.35
70,36142888,-85.94,-115.23,-976.56,-4.82,-3.29,2.56,33.49
