seq,timestamp_us,ax_mg,ay_mg,az_mg,gx_dps,gy_dps,gz_dps,temp_c
0,33090506,-756.35,-575.68,-359.37,-0.43,-0.49,-0.61,33.49
1,33094568,-786.62,-597.66,-377.93,-0.49,-0.79,0.00,33.35
2,33098617,-786.62,-597.66,-377.93,-0.12,-1.34,0.43,33.11
3,33102666,-727.05,-549.32,-337.89,-0.49,-1.10,-0.30,33.35
4,33106716,-747.07,-563.96,-357.91,-1.04,0.06,-0.37,33.30
5,33110770,-775.88,-592.77,-370.61,-0.79,-0.24,0.00,33.25
6,33114819,-758.30,-569.82,-353.52,-0.61,-0.79,0.73,33.11
7,33118868,-731.45,-556.15,-345.70,-0.91,-1.28,0.85,33.49
8,33122917,-752.93,-563.48,-355.96,-0.12,-0.24,0.98,33.25
9,33128791,-761.72,-577.15,-350.59,-0.79,-0.49,0.91,33.30
10,33132840,-753.91,-573.24,-355.47,-1.95,-0.79,0.24,33.30
11,33136889,-733.89,-557.13,-353.03,-1.22,-0.98,0.49,33.49
12,33140947,-749.51,-569.34,-354.98,-0.37,-0.49,0.61,33.25
13,33144996,-764.16,-575.68,-356.93,-0.43,-0.91,0.55,33.49
14,33150791,-755.86,-567.87,-352.05,-0.67,-0.79,0.43,33.35
15,33154840,-754.39,-565.92,-355.96,-1.16,-0.49,-0.55,33.35
16,33158889,-751.46,-571.78,-357.91,-1.04,-0.55,-0.73,33.16
17,33162947,-745.12,-567.38,-352.54,-0.61,-0.67,-0.73,33.44
18,33166996,-752.93,-573.73,-354.49,-0.24,-0.49,-0.73,33.25
19,33172791,-760.74,-579.10,-364.75,-0.43,-0.85,-0.85,33.49
20,33176840,-760.74,-577.64,-360.35,-0.24,-0.79,-0.67,33.35
21,33180889,-743.65,-571.78,-348.63,-0.49,-0.37,-0.79,33.30
22,33184947,-738.77,-562.50,-360.35,-1.40,-0.73,-0.91,33.35
23,33190791,-748.05,-573.73,-363.28,-0.61,-0.67,-0.85,33.30
24,33194840,-752.44,-579.59,-361.82,-0.18,-0.91,-0.18,33.68
25,33198889,-749.02,-580.08,-361.82,-0.73,-1.04,0.12,33.35
26,33202947,-736.33,-563.96,-344.24,-0.91,-1.04,0.18,33.16
27,33206996,-750.00,-581.05,-353.52,-0.61,-0.43,0.24,33.49
28,33212791,-763.67,-579.10,-358.89,-1.28,-0.61,0.00,33.35
29,33216840,-741.70,-575.20,-354.00,-1.16,-0.91,0.37,33.49
30,33220889,-746.09,-572.75,-353.03,-0.43,-0.73,1.16,33.35
31,33224947,-751.95,-576.17,-354.98,-0.67,-0.73,1.34,33.25
32,33228996,-754.39,-573.24,-351.07,-0.79,-0.85,1.40,33.44
33,33234791,-757.81,-574.71,-352.54,-0.91,-0.67,1.22,33.44
34,33238840,-753.42,-574.22,-356.45,-1.22,-0.61,1.34,33.35
35,33242889,-745.12,-564.45,-347.66,-1.16,-0.91,0.98,33.44
36,33246947,-755.37,-566.89,-357.91,-0.98,-0.55,1.16,33.35
37,33250996,-761.23,-573.73,-363.77,-1.04,-0.79,1.34,33.35
38,33256791,-755.37,-563.48,-351.07,-0.85,-0.79,1.34,33.35
39,33260840,-755.86,-569.34,-354.49,-0.85,-0.67,0.85,33.25
40,33264889,-763.18,-566.89,-357.91,-1.22,-0.79,0.37,33.44
41,33268947,-745.12,-564.45,-351.56,-1.16,-0.91,0.06,33.64
42,33272996,-753.42,-574.71,-358.40,-0.79,-0.73,-0.18,33.25
43,33278791,-760.25,-570.80,-359.37,-0.67,-0.73,-0.24,33.11
44,33282840,-750.00,-563.48,-349.61,-0.30,-0.73,-0.55,33.35
45,33286889,-758.30,-572.75,-354.98,-0.61,-0.49,-0.55,33.44
46,33290947,-757.32,-573.73,-359.37,-0.73,-0.43,-0.91,33.16
47,33294996,-746.58,-568.36,-351.56,-0.55,-0.79,-0.79,33.16
48,33300791,-749.51,-573.73,-354.00,-0.67,-0.37,-0.55,33.35
49,33304840,-754.88,-575.20,-360.35,-0.43,-0.61,-0.12,33.11
50,33308889,-750.49,-567.87,-350.10,-0.43,-1.10,-0.12,33.44
51,33312947,-752.44,-572.75,-355.47,-0.79,-0.79,0.12,33.30
52,33316996,-753.91,-570.31,-365.23,-0.73,-0.61,0.43,33.11
53,33322791,-747.07,-565.43,-355.47,-0.67,-0.73,0.55,33.11
54,33326840,-750.98,-572.27,-355.47,-1.04,-0.55,0.49,33.49
55,33330889,-749.02,-573.24,-362.30,-1.10,-0.67,0.85,33.25
56,33334947,-750.49,-570.31,-356.93,-0.73,-0.79,0.61,33.25
57,33338996,-758.79,-575.68,-357.42,-1.04,-0.73,0.67,33.25
58,33344791,-756.84,-575.20,-360.35,-0.67,-0.49,0.18,33.35
59,33348840,-749.51,-562.01,-350.10,-0.85,-0.85,0.12,33.44
60,33352889,-754.39,-576.17,-355.47,-0.98,-0.67,0.00,33.35
61,33356947,-750.98,-576.17,-359.86,-0.73,-0.67,0.18,33.35
62,33360996,-747.07,-572.75,-357.42,-0.43,-0.91,0.06,33.30
63,33366791,-752.93,-574.22,-357.91,-0.73,-0.61,-0.18,33.35
64,33370840,-754.39,-575.20,-360.84,-0.79,-0.61,-0.30,33.35
65,33374889,-747.56,-567.38,-353.52,-0.73,-1.04,-0.18,33.25
66,33378947,-752.44,-575.20,-355.47,-0.67,-0.79,-0.30,33.30
67,33382996,-750.00,-572.75,-362.79,-0.98,-0.67,0.12,33.35
