host_elapsed_s,seq,timestamp_us,ax_mg,ay_mg,az_mg,gx_dps,gy_dps,gz_dps,temp_c
0.000000,0,1144187,-208.9800,-562.5000,-785.1600,-6.8900,-1.8300,2.8700,34.3600
0.000000,1,1148777,-218.2600,-573.2400,-795.9000,-1.1000,-0.7300,1.2800,34.4000
0.000000,2,1153150,-217.7700,-582.0300,-801.2700,-1.6500,-1.2200,1.5900,34.4000
0.000000,3,1157508,-216.8000,-583.9800,-803.2200,-1.2200,-0.9800,1.4000,34.3100
0.016000,4,1161856,-215.3300,-582.5200,-799.3200,-0.9100,-1.1600,0.4900,34.5000
0.016000,5,1166210,-212.4000,-585.4500,-802.7300,-0.4300,-0.8500,-0.3700,34.4000
0.016000,6,1170565,-213.3800,-592.2900,-804.2000,0.3000,-1.1600,-0.4900,34.1600
0.032000,7,1174931,-210.9400,-594.7300,-800.7800,0.6100,-1.4000,-0.4300,34.4000
0.032000,8,1179285,-213.8700,-593.7500,-803.7100,1.1600,-1.8900,-0.7300,34.3600
0.032000,9,1183648,-212.4000,-586.4300,-798.8300,1.1600,-1.7700,-0.9800,34.2100
0.032000,10,1188008,-212.4000,-577.6400,-796.3900,1.1600,-1.8300,-0.7300,34.4000
0.047000,11,1192365,-213.8700,-576.1700,-794.4300,0.6100,-1.5200,-0.6700,34.2100
0.047000,12,1196720,-216.3100,-570.8000,-792.9700,0.4300,-1.7100,-0.3700,34.4000
0.047000,13,1201092,-215.8200,-572.2700,-790.0400,0.5500,-1.8300,-0.4300,34.6400
0.063000,14,1205449,-219.2400,-574.7100,-785.1600,0.4900,-1.6500,0.0000,34.2100
0.063000,15,1209832,-216.3100,-574.7100,-780.7600,0.0600,-1.7700,-0.3000,34.3600
0.063000,16,1214202,-209.4700,-576.1700,-778.3200,-0.5500,-1.9500,-0.1200,34.5000
0.063000,17,1218712,-205.0800,-577.1500,-778.3200,-1.4000,-1.9500,0.3700,34.4000
0.079000,18,1223074,-207.0300,-586.4300,-778.3200,-1.9500,-1.5900,1.1600,34.2100
0.079000,19,1227434,-210.4500,-580.5700,-776.8600,-2.0700,-1.8300,1.8300,34.2100
