seq,timestamp_us,ax_mg,ay_mg,az_mg,gx_dps,gy_dps,gz_dps,temp_c
0,110915074,190.43,-752.44,-683.59,-10.98,0.79,9.63,37.47
1,110919137,151.86,-738.77,-611.82,-7.44,4.82,13.29,37.52
2,110923186,209.47,-763.18,-597.17,-8.54,2.26,3.29,37.37
3,110927235,286.62,-791.50,-615.72,-6.10,1.77,-2.20,37.37
4,110931285,286.62,-791.50,-615.72,0.43,2.44,-1.77,37.66
5,110935335,279.79,-773.93,-613.77,3.90,1.22,2.13,37.33
6,110939384,239.75,-747.07,-597.17,0.49,-1.04,4.02,37.52
7,110943433,229.00,-769.04,-620.61,-3.72,-2.01,1.83,37.33
8,110947483,234.86,-792.48,-648.44,-2.87,-1.04,1.28,37.33
9,110951533,236.82,-777.34,-656.25,0.24,0.49,2.68,37.37
10,110957799,218.26,-762.70,-622.56,0.00,1.04,2.87,37.33
11,110961848,233.40,-775.88,-617.19,-2.87,1.34,0.91,37.52
12,110965898,256.35,-779.79,-613.77,-2.99,1.40,-0.06,37.47
13,110969955,271.00,-769.04,-599.61,-1.83,1.22,1.71,37.28
14,110974005,256.84,-760.25,-584.47,-1.83,1.04,2.99,37.18
15,110978054,247.07,-762.70,-587.89,-3.17,1.10,2.87,37.33
16,110983799,245.61,-771.48,-605.96,-3.48,0.73,2.44,37.37
17,110987848,249.02,-772.46,-608.40,-2.68,0.49,2.20,37.18
18,110991898,241.70,-775.39,-602.05,-2.26,0.55,1.89,37.52
19,110995955,240.23,-775.88,-599.61,-1.59,1.04,0.85,37.52
20,111000005,248.05,-768.07,-598.63,-1.10,0.67,0.12,37.57
21,111005799,250.00,-769.04,-605.96,-1.10,0.79,0.06,37.52
22,111009848,251.46,-765.62,-607.42,-0.55,1.04,-0.06,37.52
23,111013898,245.12,-768.07,-607.91,-0.30,1.04,0.12,37.52
24,111017955,238.77,-768.55,-618.16,-0.73,0.61,-0.73,37.37
25,111022005,243.16,-772.46,-616.21,-0.73,0.49,-1.71,37.47
26,111027799,248.05,-776.86,-625.00,-0.85,1.04,-1.95,37.66
27,111031848,249.51,-772.46,-617.68,-0.30,0.67,-1.77,37.28
28,111035898,243.16,-764.65,-615.23,-0.61,0.61,-1.46,37.47
29,111039955,246.09,-769.04,-621.58,-1.28,0.37,-2.07,37.28
30,111044005,241.70,-773.44,-625.98,-1.28,0.24,-1.95,37.47
31,111049799,249.51,-771.00,-628.91,-0.98,0.30,-1.59,37.52
32,111053848,246.58,-768.55,-628.91,-0.91,0.49,-1.04,37.47
33,111057898,244.14,-756.84,-625.98,-0.85,0.24,-0.79,37.57
34,111061955,244.14,-755.86,-626.46,-1.10,0.24,-0.30,37.33
35,111066005,249.02,-752.93,-629.88,-1.10,0.79,0.49,37.52
36,111071799,246.58,-754.39,-629.88,-0.61,1.34,0.85,37.52
37,111075848,245.12,-750.49,-619.63,-0.30,1.83,0.85,37.33
38,111079898,244.14,-743.16,-606.45,-0.06,2.50,0.49,37.52
39,111083955,244.14,-751.95,-600.59,0.30,2.50,0.37,37.52
40,111088005,246.58,-758.30,-602.54,1.34,3.78,0.49,37.47
41,111093799,247.56,-757.32,-595.70,3.41,4.27,0.12,37.52
42,111097848,249.02,-743.65,-582.52,4.57,5.12,-0.55,37.33
43,111101898,248.05,-747.56,-578.12,5.37,5.43,-1.34,37.37
44,111105955,250.98,-751.95,-576.17,6.22,6.04,-2.01,37.47
45,111110005,251.95,-760.74,-571.29,7.50,6.16,-2.32,37.28
46,111115799,257.32,-765.62,-571.78,8.60,6.10,-3.48,37.37
47,111119848,253.91,-776.86,-572.75,8.90,5.98,-4.63,37.33
48,111123898,263.18,-783.20,-579.59,9.33,6.34,-5.85,37.52
49,111127955,261.72,-789.55,-579.10,9.33,5.79,-6.04,37.47
50,111133799,259.28,-790.53,-580.08,10.55,5.61,-6.10,37.71
51,111137848,253.42,-792.97,-581.54,10.55,5.24,-7.20,37.37
