seq,timestamp_us,ax_mg,ay_mg,az_mg,gx_dps,gy_dps,gz_dps,temp_c
0,66932384,407.23,-534.18,-711.43,-2.80,-1.04,-3.23,36.13
1,66936449,453.12,-532.71,-753.42,-3.54,-1.95,-2.74,36.08
2,66940498,450.20,-543.46,-735.84,-2.56,-0.12,-0.79,35.98
3,66944548,441.89,-551.76,-744.14,-1.28,-0.55,1.04,36.42
4,66950799,418.46,-545.90,-741.70,1.65,0.00,0.61,35.94
5,66954848,431.15,-530.76,-726.56,1.52,0.61,-1.77,35.98
6,66958898,447.75,-533.20,-724.12,-0.06,0.12,-1.52,35.98
7,66962955,446.78,-539.06,-735.84,-0.91,-0.06,1.16,35.79
8,66967005,435.06,-536.62,-739.75,0.06,-0.12,2.50,36.08
9,66971054,427.73,-528.81,-729.00,1.22,-0.12,2.26,35.79
10,66976799,424.80,-528.81,-720.70,0.43,-0.06,0.67,36.13
11,66980848,437.01,-532.71,-723.14,-0.79,-0.79,1.16,35.79
12,66984898,433.59,-532.23,-727.05,-1.28,-1.83,2.74,36.22
13,66988955,442.38,-534.18,-720.70,-0.61,-1.95,3.54,36.13
14,66993005,425.78,-531.74,-722.17,-0.43,-1.59,3.17,35.89
15,66998799,422.36,-534.67,-728.03,-1.46,-1.52,1.52,36.22
16,67002848,427.73,-534.67,-733.89,-1.04,-1.46,1.04,36.22
17,67006898,426.27,-541.02,-732.91,-0.85,-1.59,0.98,36.22
18,67010955,429.20,-531.25,-734.37,-0.55,-1.46,0.67,35.60
19,67015005,428.22,-538.09,-729.98,-0.12,-1.71,0.98,36.22
20,67020799,425.78,-532.71,-730.47,0.06,-2.13,0.49,35.94
21,67024848,422.36,-535.16,-728.52,-0.43,-2.44,0.06,36.08
22,67028898,432.62,-540.04,-726.07,-0.85,-2.56,-0.30,36.32
23,67032955,432.13,-544.43,-722.66,-0.61,-2.93,-0.67,36.08
24,67037005,433.59,-545.90,-722.17,-0.67,-3.41,-1.52,35.94
25,67042799,442.87,-549.32,-706.05,-4.21,-1.34,-1.89,35.94
26,67046848,437.50,-555.18,-726.56,-1.59,-4.39,-3.54,36.13
27,67050898,450.20,-555.66,-739.26,-1.65,-4.82,-2.87,35.89
28,67054955,437.99,-543.95,-740.72,-0.73,-4.02,-1.34,36.08
29,67059005,434.08,-540.04,-742.19,-1.71,-3.96,-0.61,36.46
30,67064799,429.20,-535.64,-732.91,-2.44,-3.90,0.12,35.94
31,67068848,442.38,-539.06,-743.16,-3.54,-4.33,2.01,36.27
32,67072898,433.59,-537.11,-740.72,-3.48,-4.39,3.84,36.13
33,67076955,430.18,-532.23,-742.19,-3.05,-4.51,5.06,36.32
34,67082799,437.01,-523.44,-731.93,-2.44,-4.70,4.82,36.08
35,67086848,409.67,-524.90,-744.14,-2.01,-4.82,4.82,36.13
36,67090898,415.53,-516.60,-756.84,-3.54,-5.24,4.45,36.13
37,67094955,431.64,-521.00,-762.70,-3.17,-5.12,6.34,35.89
38,67099005,413.09,-512.21,-745.12,-1.40,-5.18,7.93,36.22
39,67103054,397.95,-511.72,-745.61,-1.34,-5.98,6.28,35.79
40,67108799,400.39,-510.74,-753.91,0.06,-5.55,5.43,35.94
41,67112848,404.30,-506.35,-762.70,0.30,-4.82,4.45,35.79
42,67116898,413.57,-508.30,-763.67,1.40,-4.76,5.37,36.22
43,67120955,405.27,-511.72,-758.79,2.32,-4.02,6.65,36.22
44,67126799,398.93,-513.67,-762.21,3.23,-3.78,5.85,36.27
45,67130848,421.87,-527.83,-771.48,5.98,-1.34,5.67,35.98
46,67134898,425.78,-526.86,-757.81,7.38,-0.30,6.16,35.94
47,67138955,427.73,-537.60,-761.23,11.77,-0.24,8.05,36.08
48,67143005,425.29,-526.86,-761.23,10.49,0.85,5.43,35.94
49,67148799,416.99,-541.02,-769.53,12.38,4.09,2.99,35.98
50,67152848,465.33,-525.88,-760.25,15.12,6.04,6.65,36.08
51,67156898,397.46,-537.60,-716.31,13.66,7.68,9.09,35.98
52,67160955,409.67,-536.13,-708.01,12.80,3.78,5.98,35.98
53,67165005,454.10,-532.23,-703.12,11.28,2.26,3.66,36.22
54,67170799,449.71,-552.25,-696.29,4.88,0.43,5.06,35.94
55,67174848,471.19,-575.20,-724.61,-0.85,-3.78,8.11,36.13
56,67178898,469.73,-593.26,-742.19,-1.22,-2.80,9.57,36.27
57,67182955,458.50,-591.31,-734.37,-0.61,-0.43,10.24,36.42
58,67187005,439.94,-589.36,-737.79,0.30,0.37,8.35,36.13
59,67192799,446.29,-575.20,-709.47,1.77,2.44,3.48,35.94
60,67196848,413.09,-551.27,-741.21,0.79,0.24,0.18,36.13
61,67200898,437.01,-546.88,-730.47,0.18,-0.85,-0.79,36.08
62,67204955,451.17,-542.48,-732.91,-0.91,-1.46,1.22,36.08
63,67209005,437.99,-538.57,-731.45,-1.04,-1.28,3.23,36.13
64,67214799,419.92,-532.71,-729.98,-1.59,-1.52,2.93,36.27
65,67218848,428.22,-534.67,-727.54,-2.93,-1.89,1.16,35.98
66,67222898,435.55,-544.92,-732.42,-4.33,-1.83,0.61,35.94
67,67226955,432.62,-549.80,-734.37,-5.30,-1.28,0.43,35.60
68,67231005,417.48,-543.95,-749.51,-4.88,-1.46,-0.24,36.13
69,67236799,417.48,-540.04,-742.68,-4.02,-1.28,-1.83,35.94
70,67240848,406.25,-539.55,-739.26,-3.66,-1.16,-4.45,35.89
71,67244898,412.60,-530.76,-736.82,-3.72,-1.10,-5.85,35.94
72,67248955,413.09,-516.60,-731.93,-3.96,-1.10,-7.68,35.79
73,67253005,414.55,-497.07,-715.33,-5.79,0.37,-12.99,36.13
74,67258799,388.18,-539.06,-734.86,-7.50,-0.24,-16.16,35.89
75,67262848,454.10,-525.88,-755.37,-3.17,-1.34,-10.73,36.13
76,67266898,427.25,-511.72,-721.68,-2.13,-1.22,-8.05,35.98
77,67270955,383.79,-503.91,-717.77,-3.48,0.79,-12.13,35.79
78,67275005,373.54,-517.58,-735.35,-5.12,0.85,-19.63,36.13
79,67280799,409.67,-545.41,-750.00,-4.70,0.00,-22.62,36.13
80,67284848,395.51,-530.76,-744.14,-4.94,1.34,-24.82,35.89
81,67288898,419.43,-556.15,-786.13,-2.80,-0.49,-23.66,35.94
82,67292955,437.99,-531.25,-764.16,0.00,0.91,-22.07,36.13
83,67298799,426.76,-533.69,-765.62,1.83,1.71,-18.41,35.98
84,67302848,419.43,-522.46,-769.53,3.66,4.94,-18.11,35.89
85,67306898,416.99,-526.86,-786.13,4.82,6.04,-17.07,35.98
86,67310955,423.34,-517.09,-757.81,5.98,7.07,-16.34,35.98
87,67315005,432.13,-533.20,-745.61,4.82,7.50,-14.51,36.08
88,67319054,439.94,-525.88,-729.49,3.60,8.05,-13.90,36.13
89,67324799,436.52,-541.50,-737.30,2.44,7.44,-12.99,35.98
90,67328848,436.52,-549.32,-742.19,1.40,7.87,-14.57,35.94
91,67332898,437.01,-562.99,-746.58,0.67,8.78,-15.37,35.89
92,67336955,446.29,-571.29,-746.58,1.71,9.63,-13.78,35.94
93,67342799,475.10,-565.43,-747.07,3.72,10.79,-8.78,36.22
94,67346848,445.31,-547.36,-710.94,3.78,13.05,-7.32,35.94
95,67350898,407.71,-560.55,-698.24,1.65,12.68,-11.52,35.89
96,67354955,441.41,-583.50,-727.05,1.71,11.40,-12.87,36.32
97,67359005,469.24,-538.09,-710.45,4.39,11.71,-11.65,35.98
98,67364799,459.47,-527.34,-689.94,4.39,12.07,-8.48,36.08
99,67368848,449.22,-524.41,-716.80,4.02,12.62,-7.93,35.94
100,67372898,446.29,-519.04,-680.18,2.56,11.83,-8.35,35.89
101,67376955,427.25,-522.46,-671.39,-0.73,10.67,-10.24,36.32
102,67381005,443.85,-535.16,-686.52,-2.87,8.54,-13.17,36.13
103,67386799,463.87,-527.83,-704.10,-2.93,7.07,-13.66,36.13
104,67390848,463.38,-520.51,-705.08,-2.62,6.40,-10.73,36.42
105,67394898,455.57,-507.81,-696.78,-3.23,6.04,-8.60,36.27
106,67398955,450.20,-513.18,-694.82,-4.45,5.30,-7.62,36.46
107,67403005,452.15,-508.79,-697.27,-5.85,4.45,-7.99,36.27
108,67408799,449.22,-504.88,-694.34,-6.95,4.39,-8.35,36.13
109,67412848,450.68,-511.72,-702.64,-7.56,4.02,-8.54,36.27
110,67416898,452.15,-520.51,-702.15,-7.62,3.78,-8.60,36.22
111,67420955,455.57,-517.58,-708.50,-7.26,3.41,-8.66,36.13
