seq,timestamp_us,ax_mg,ay_mg,az_mg,gx_dps,gy_dps,gz_dps,temp_c
0,89865224,442.87,-603.52,-658.20,-5.79,-4.39,1.10,36.80
1,89869287,453.12,-620.12,-666.02,-7.01,-4.51,2.50,36.66
2,89873336,453.12,-620.12,-666.02,-5.24,-3.41,3.54,36.80
3,89877386,443.36,-610.84,-645.02,-3.60,-3.54,3.11,36.75
4,89881435,446.78,-615.23,-657.71,-3.90,-2.74,2.99,36.46
5,89885485,442.87,-618.65,-658.69,-4.51,-3.29,2.80,36.85
6,89889534,440.43,-616.21,-661.13,-4.39,-3.35,2.68,36.75
7,89893583,444.34,-620.12,-661.13,-3.96,-2.68,2.01,36.51
8,89897633,448.73,-620.61,-654.30,-3.11,-2.44,1.22,36.99
9,89903799,450.68,-619.63,-654.30,-2.93,-1.89,0.43,36.75
10,89907848,452.15,-622.56,-655.27,-2.56,-1.10,0.06,37.14
11,89911898,442.87,-629.39,-652.34,-2.38,-0.79,-0.24,36.80
12,89915955,447.75,-625.00,-649.41,-1.89,-0.43,-0.79,36.80
13,89920005,451.17,-625.98,-647.95,-1.77,-0.18,-0.79,36.66
14,89924054,445.31,-628.42,-646.48,-1.95,-0.18,-0.55,36.85
15,89929799,449.22,-625.00,-650.88,-2.50,-0.12,-0.37,36.66
16,89933848,451.66,-630.37,-649.41,-2.13,-0.37,-0.30,36.66
17,89937898,451.66,-631.35,-650.39,-2.13,0.12,-0.30,36.66
18,89941955,458.98,-630.86,-651.37,-2.20,0.67,-0.06,36.80
19,89947799,455.57,-635.25,-654.30,-2.38,0.79,0.49,36.75
20,89951848,451.17,-630.37,-649.41,-2.13,0.73,-0.12,36.85
21,89955898,456.54,-622.07,-651.37,-2.26,1.16,-0.12,36.66
22,89959955,458.50,-631.84,-646.48,-2.26,1.28,0.61,36.80
23,89964005,461.43,-624.02,-643.55,-2.38,1.52,0.85,36.75
24,89969799,458.50,-623.05,-643.07,-2.26,1.52,1.65,36.75
25,89973848,456.05,-618.65,-644.04,-2.44,1.71,2.44,36.80
26,89977898,453.61,-622.56,-647.95,-2.62,1.59,2.38,36.75
27,89981955,458.98,-620.61,-645.02,-2.74,1.65,2.44,36.75
28,89986005,456.54,-621.58,-642.58,-3.05,1.65,3.05,36.75
29,89991799,456.05,-617.68,-646.00,-3.66,1.04,3.23,36.80
30,89995848,456.54,-615.23,-647.46,-4.09,0.49,3.54,36.80
31,89999898,457.03,-620.61,-646.97,-4.27,0.24,3.96,36.66
32,90003955,458.98,-622.56,-648.44,-4.39,-0.30,4.39,36.85
33,90008005,456.54,-620.61,-648.44,-4.57,-0.30,4.09,36.80
34,90013799,452.15,-626.46,-647.46,-4.94,-0.49,3.78,37.14
35,90017848,460.94,-627.44,-643.55,-4.94,0.12,3.29,36.61
36,90021898,465.82,-628.91,-646.97,-5.12,0.43,3.72,36.66
37,90025955,466.31,-634.77,-661.62,-3.41,1.46,3.84,36.94
38,90030005,461.43,-636.72,-640.62,-1.65,1.71,4.45,36.94
39,90035799,464.84,-630.37,-640.14,-0.18,2.80,4.02,36.94
40,90039848,475.10,-630.86,-625.00,1.34,3.60,4.45,36.80
41,90043898,456.54,-633.30,-613.28,0.30,3.54,4.33,36.75
42,90047955,462.40,-623.54,-621.09,0.12,3.23,3.54,36.80
43,90052005,465.82,-626.95,-625.98,0.91,3.90,3.29,36.75
44,90057799,472.66,-703.12,-697.27,0.43,4.33,3.90,36.75
45,90061848,433.11,-602.54,-597.66,9.39,5.85,12.56,36.94
46,90065898,414.06,-583.98,-562.01,4.63,2.87,7.62,36.75
47,90069955,444.82,-603.52,-618.16,-0.37,5.06,1.95,36.51
48,90074005,472.66,-612.30,-632.32,3.84,2.20,4.39,37.04
49,90079799,438.48,-595.70,-627.93,8.66,4.15,4.21,36.94
50,90083848,442.87,-588.38,-600.10,12.50,3.84,2.56,36.94
51,90087898,462.89,-596.68,-631.35,10.06,2.56,3.60,36.85
52,90091955,453.12,-603.03,-644.53,8.29,2.56,5.18,36.75
53,90096005,432.62,-603.03,-649.90,7.32,3.54,4.94,36.80
54,90101799,429.20,-606.93,-655.76,8.17,3.90,3.72,36.75
55,90105848,444.82,-611.33,-652.34,9.27,4.63,3.29,36.94
56,90109898,445.80,-609.38,-661.13,9.45,4.45,2.87,36.75
57,90113955,445.31,-614.26,-639.16,8.23,3.35,2.87,36.85
58,90118005,444.82,-608.40,-646.48,6.71,2.26,1.71,36.51
59,90123799,444.34,-619.63,-661.13,6.46,1.83,1.77,36.51
60,90127848,447.75,-627.44,-672.85,6.89,2.38,2.44,36.80
61,90131898,442.87,-620.12,-664.06,7.99,1.89,2.38,36.80
62,90135955,440.92,-626.46,-655.27,7.80,1.83,2.87,36.75
63,90141799,446.78,-622.56,-659.18,7.13,1.52,2.01,36.61
64,90145848,449.71,-626.46,-660.16,6.71,2.44,3.48,36.75
65,90149898,447.27,-637.70,-661.62,7.62,3.41,3.66,36.80
66,90153955,439.94,-609.86,-628.91,7.13,2.87,5.85,36.99
67,90158005,441.89,-656.25,-648.44,3.78,2.56,8.96,36.66
68,90163799,431.64,-641.60,-625.49,5.91,3.23,3.54,36.80
69,90167848,462.40,-644.04,-635.25,4.09,3.11,3.05,36.80
70,90171898,471.19,-648.44,-623.54,4.63,2.62,6.10,36.51
71,90175955,437.50,-643.07,-612.79,3.54,2.74,5.67,36.80
72,90180005,450.68,-652.34,-626.46,1.46,2.99,3.96,36.66
73,90185799,468.26,-647.46,-615.72,0.67,2.74,4.33,36.66
74,90189848,464.84,-651.86,-621.58,0.37,3.05,5.61,36.80
75,90193898,457.03,-644.04,-604.98,-0.85,2.68,6.28,36.80
76,90197955,458.98,-643.07,-619.14,-2.44,1.89,5.73,36.75
77,90202005,455.08,-654.79,-620.12,-3.41,1.77,5.06,36.80
78,90207799,463.87,-655.76,-628.42,-3.66,2.20,4.15,36.66
79,90211848,457.03,-656.74,-631.35,-2.68,1.89,3.60,36.75
80,90215898,477.05,-654.79,-639.16,-2.20,2.68,2.68,36.51
81,90219955,466.80,-663.57,-645.02,-0.98,2.93,3.05,36.94
82,90224005,455.57,-664.06,-633.30,-0.37,3.29,2.80,36.80
83,90229799,456.05,-646.97,-643.55,-0.55,3.96,0.37,36.94
84,90233848,451.17,-667.97,-649.90,0.61,4.39,1.89,36.99
85,90237898,443.85,-665.53,-621.09,2.20,4.02,-1.59,36.94
86,90241955,458.50,-659.67,-625.00,2.07,3.72,-5.24,36.94
87,90246005,481.93,-653.32,-637.21,1.28,3.66,-4.51,36.99
88,90251799,476.56,-648.93,-632.81,0.79,2.80,-0.85,36.94
89,90255848,456.05,-647.46,-636.72,0.30,2.68,1.10,36.94
90,90259898,450.68,-649.90,-633.79,0.43,2.38,0.73,36.75
91,90263955,452.15,-650.88,-637.70,0.30,2.20,-0.12,36.94
92,90268005,458.50,-660.16,-637.21,-0.12,1.77,-0.24,36.46
93,90273799,470.21,-652.83,-638.18,-0.73,1.77,0.79,36.80
94,90277848,455.57,-648.93,-651.37,-1.04,1.52,2.62,36.80
95,90281898,444.82,-646.97,-648.44,-0.98,1.71,3.11,36.61
96,90285955,442.38,-649.90,-642.58,-0.79,1.65,2.44,36.51
97,90290005,441.41,-628.91,-644.04,-1.28,0.98,1.65,36.94
98,90295799,403.32,-666.99,-672.85,-2.01,0.06,2.01,36.80
99,90299848,476.07,-652.34,-637.70,-1.34,1.40,1.59,36.80
100,90303898,447.27,-644.53,-627.93,-0.98,1.40,1.22,36.94
101,90307955,448.73,-625.00,-625.98,-2.20,1.04,2.07,36.75
102,90312005,451.17,-640.14,-632.32,-2.87,-0.37,0.61,36.80
103,90317799,456.05,-631.84,-628.42,-2.38,-0.06,1.22,36.80
104,90321848,449.71,-620.61,-630.86,-2.38,0.24,3.05,36.94
105,90325898,451.17,-624.02,-628.91,-2.93,-0.30,3.96,36.66
106,90329955,446.29,-624.02,-629.39,-2.80,-0.30,4.63,36.80
107,90334005,449.71,-622.56,-629.88,-2.50,0.12,4.94,36.66
108,90339799,443.36,-625.98,-630.37,-2.44,0.37,4.33,36.85
109,90343848,451.66,-631.84,-637.21,-1.46,1.46,3.54,36.94
110,90347898,445.31,-632.32,-640.14,-0.67,2.20,3.29,36.75
111,90351955,441.41,-634.77,-631.84,0.55,2.74,1.71,36.80
112,90357799,433.11,-636.23,-637.21,1.22,3.41,0.12,36.94
113,90361848,445.31,-647.46,-636.72,2.38,4.02,-1.59,36.75
114,90365898,450.68,-635.74,-628.91,3.05,4.15,-3.17,36.94
115,90369955,453.12,-639.65,-628.91,3.66,4.57,-3.78,36.75
116,90374005,451.17,-635.25,-625.00,3.78,4.94,-3.54,36.80
117,90379799,461.43,-637.21,-624.02,3.72,4.21,-3.23,37.14
118,90383848,465.33,-637.21,-624.02,3.23,4.33,-3.54,36.94
119,90387898,463.87,-631.84,-625.00,3.11,4.33,-2.20,36.80
120,90391955,463.38,-634.77,-628.42,2.50,4.02,-1.16,36.80
