seq,timestamp_us,ax_mg,ay_mg,az_mg,gx_dps,gy_dps,gz_dps,temp_c
0,7526884,-603.03,-806.64,57.13,-0.43,3.72,0.79,34.36
1,7530959,-574.71,-841.80,-88.38,-0.24,0.67,0.98,34.21
2,7535009,-640.62,-805.18,80.57,0.37,-2.99,0.18,34.31
3,7539058,-603.52,-823.24,27.34,-4.15,0.49,1.40,34.36
4,7543107,-616.21,-807.13,32.71,-1.52,-0.55,1.71,34.16
5,7547157,-605.47,-816.89,44.43,1.40,-2.93,1.16,34.64
6,7552799,-617.68,-812.50,90.82,-1.04,1.59,1.10,34.21
7,7556848,-601.56,-812.50,42.97,-4.33,2.38,1.16,34.21
8,7560898,-596.19,-825.20,38.57,-2.32,2.56,2.56,34.40
9,7564955,-600.10,-826.17,37.60,0.00,2.56,5.37,34.21
10,7570799,-602.05,-815.43,43.46,2.44,1.59,7.50,34.40
11,7574848,-623.54,-810.55,47.85,1.34,0.12,7.80,34.31
12,7578898,-620.12,-810.06,53.22,0.67,-0.18,6.46,34.16
13,7582955,-617.68,-799.80,51.76,-0.79,0.67,5.30,34.40
14,7587005,-618.16,-807.13,42.97,-1.40,0.24,3.72,34.50
15,7592799,-622.07,-810.06,38.57,-0.67,-0.85,2.56,34.40
16,7596848,-613.77,-799.32,53.71,-0.43,-0.67,0.98,34.64
17,7600898,-615.72,-812.01,47.36,-0.91,0.06,0.49,34.64
18,7604955,-623.54,-813.96,37.60,-0.06,-0.18,-0.85,34.50
19,7609005,-611.33,-812.99,46.87,0.67,-0.30,-1.34,34.64
20,7614799,-620.61,-810.55,41.50,-0.24,-1.59,-2.07,34.40
21,7618848,-620.61,-809.08,49.80,-0.30,-1.10,-3.05,34.50
22,7622898,-608.40,-806.15,49.80,-0.85,-1.34,-3.48,34.40
23,7626955,-610.35,-811.52,48.34,-1.16,-1.10,-3.54,34.40
24,7631005,-601.07,-822.75,55.66,-0.73,-0.55,-3.11,34.40
25,7636799,-572.75,-828.12,47.36,0.67,6.95,-0.37,34.40
26,7640848,-587.40,-828.12,44.43,2.56,17.68,8.23,34.31
27,7644898,-611.82,-821.78,21.97,4.57,12.44,12.80,34.21
28,7648955,-615.72,-809.57,53.22,1.65,-0.49,14.45,34.21
29,7653005,-603.03,-806.15,75.20,-0.91,-0.61,15.49,34.31
30,7658799,-612.30,-816.41,59.08,-4.45,3.72,17.13,34.12
31,7662848,-607.91,-807.62,20.02,-2.44,2.50,18.29,34.40
32,7666898,-622.07,-799.32,41.50,0.55,1.71,18.54,34.36
33,7670955,-642.58,-798.83,43.95,1.10,1.22,16.46,34.21
34,7675005,-648.44,-797.36,46.87,0.73,0.67,12.20,34.36
35,7680799,-646.48,-782.23,57.13,-0.85,0.55,6.71,34.31
36,7684848,-645.51,-797.85,38.09,-2.87,-0.43,0.61,34.31
37,7688898,-634.28,-797.85,33.20,-1.95,-1.22,-2.74,34.31
38,7692955,-627.44,-798.34,41.02,-0.61,-1.95,-5.55,34.02
39,7697005,-636.72,-803.22,37.60,-0.24,-1.34,-7.44,34.40
40,7702799,-632.32,-800.29,42.97,-0.30,-1.95,-9.27,34.50
41,7706848,-617.19,-807.13,45.90,-0.73,-2.20,-10.37,34.12
42,7710898,-615.72,-810.06,40.53,-1.22,-1.83,-9.70,34.36
43,7714955,-607.91,-815.92,38.09,-1.16,-1.59,-8.60,34.16
44,7719005,-603.03,-812.01,42.97,-0.91,-1.71,-6.34,34.31
45,7724799,-599.61,-810.55,40.04,-0.79,-1.28,-3.48,34.40
46,7728848,-609.86,-817.87,44.92,-0.98,-1.40,-0.55,34.31
47,7732898,-604.00,-808.11,45.90,-0.18,-1.28,1.16,34.40
48,7736955,-601.07,-811.04,49.32,-0.61,-0.91,3.72,34.40
49,7742799,-616.21,-818.36,40.53,-0.61,-0.91,5.61,34.36
50,7746848,-606.45,-806.64,72.75,-1.40,-0.12,7.01,34.21
51,7750898,-617.68,-807.62,53.22,-7.32,-2.68,6.52,34.21
52,7754955,-625.98,-804.20,63.48,-5.67,-0.79,6.89,34.36
53,7759005,-565.43,-839.84,32.71,-12.07,-4.70,8.41,34.31
54,7763054,-656.74,-784.67,111.82,17.07,3.23,11.95,34.12
55,7768799,-583.50,-819.82,140.14,0.49,2.26,11.10,34.21
56,7772848,-646.48,-787.60,18.07,-1.95,-2.32,6.40,34.12
57,7776898,-623.05,-798.34,78.12,-1.65,-2.99,4.02,34.36
58,7780955,-625.00,-801.27,56.64,-4.76,2.68,4.15,34.40
59,7786799,-615.72,-800.29,30.76,-4.57,-0.98,3.60,34.40
60,7790848,-620.12,-810.06,22.95,-0.91,-1.52,4.82,34.12
61,7794898,-628.91,-806.64,40.53,2.32,-1.77,5.85,34.21
62,7798955,-615.72,-803.71,55.18,2.13,-0.85,5.49,34.12
63,7803005,-639.16,-794.43,49.80,1.89,1.59,4.57,34.21
64,7808799,-643.07,-795.41,28.81,2.50,-1.59,1.83,34.36
65,7812848,-634.77,-790.53,64.94,0.24,-2.20,-2.26,34.40
66,7816898,-639.65,-800.29,46.39,-1.46,-1.59,-4.82,34.02
67,7820955,-631.35,-801.27,56.15,-3.05,-1.83,-6.46,34.36
68,7825005,-612.30,-809.08,48.34,-4.57,-1.40,-5.79,34.21
