seq,timestamp_us,ax_mg,ay_mg,az_mg,gx_dps,gy_dps,gz_dps,temp_c
0,271133247,-617.68,-602.05,-524.41,-1.65,-0.79,1.77,35.46
1,271137309,-613.28,-602.05,-529.79,-1.77,-1.10,1.52,35.55
2,271141358,-616.21,-601.07,-533.20,-1.34,-0.79,1.65,35.07
3,271146787,-613.28,-597.17,-535.64,-0.85,-0.18,1.77,35.27
4,271150836,-624.51,-600.59,-529.79,-0.73,0.00,1.59,35.03
5,271154885,-627.44,-608.89,-527.83,-0.61,0.12,1.22,35.55
6,271160787,-626.46,-602.54,-523.44,-1.16,0.06,0.98,35.41
7,271164836,-625.49,-594.73,-528.32,-1.22,0.00,0.49,35.46
8,271168885,-622.56,-602.54,-529.30,-0.91,-0.24,0.91,35.27
9,271172944,-621.58,-591.80,-530.76,-0.61,-0.30,1.04,35.07
10,271176993,-622.56,-600.10,-530.76,-0.12,-0.85,1.52,35.17
11,271181042,-621.09,-607.91,-527.83,0.06,-1.34,1.59,35.22
12,271186787,-620.61,-609.38,-527.34,-0.18,-1.77,1.34,35.27
13,271190836,-623.54,-609.38,-526.86,-0.43,-1.65,0.91,35.07
14,271194885,-622.56,-605.47,-531.25,0.24,-1.22,0.79,35.22
15,271198944,-621.09,-602.05,-535.16,0.67,-1.04,0.37,35.55
16,271204787,-614.26,-602.05,-526.86,1.28,-0.49,0.49,35.46
17,271208836,-616.21,-609.86,-523.44,1.95,0.12,0.55,35.17
18,271212885,-621.58,-610.35,-525.88,1.95,0.12,0.06,35.27
19,271216944,-620.12,-608.89,-518.07,1.71,0.18,-0.30,35.07
20,271220993,-617.19,-607.91,-515.62,1.59,-0.37,-0.67,35.07
21,271226787,-616.21,-600.10,-514.16,1.46,-0.30,-0.55,35.36
22,271230836,-610.84,-601.56,-518.55,1.71,-0.55,-0.18,35.75
23,271234885,-609.86,-598.14,-520.51,1.34,-0.91,0.00,35.46
24,271238944,-610.35,-600.10,-520.51,0.98,-1.04,0.55,35.07
25,271242993,-612.30,-604.49,-517.58,0.79,-1.46,0.79,35.27
26,271248787,-610.84,-607.42,-518.07,0.37,-1.89,1.16,35.17
27,271252836,-616.21,-604.98,-526.86,-0.30,-1.89,0.98,35.46
28,271256885,-613.28,-608.89,-521.97,-0.61,-1.59,0.91,35.46
29,271260944,-615.23,-606.93,-526.37,-0.61,-0.98,1.04,35.55
30,271264993,-614.26,-605.96,-526.37,-0.61,-0.79,1.04,35.27
31,271270787,-608.40,-604.98,-530.27,-0.73,-0.61,0.85,35.07
32,271274836,-613.77,-611.82,-528.32,-0.43,-0.73,1.04,34.93
33,271278885,-612.30,-613.77,-530.76,-0.37,-0.79,0.85,35.17
34,271282944,-611.33,-614.75,-522.46,-0.24,-0.61,0.30,35.22
35,271286993,-618.16,-608.40,-527.83,-0.37,-0.49,-0.24,35.22
36,271292787,-619.63,-607.91,-532.71,-0.85,-0.85,-0.61,35.17
37,271296836,-612.79,-604.00,-538.09,-0.79,-0.73,-0.98,35.07
38,271300885,-608.89,-607.91,-537.60,-0.43,-0.79,-0.37,35.07
39,271304944,-612.30,-599.12,-528.32,-0.06,-0.91,-0.12,35.55
40,271308993,-616.70,-598.63,-531.74,0.00,-1.28,-0.18,35.22
41,271314787,-614.75,-603.03,-535.16,-0.55,-1.28,-0.06,35.46
42,271318836,-617.68,-597.66,-538.09,-1.10,-1.46,-0.37,35.27
43,271322885,-614.75,-595.21,-537.11,-1.65,-1.59,-0.12,34.93
44,271326944,-610.35,-593.75,-541.02,-1.83,-2.01,0.18,35.17
45,271330993,-612.30,-594.24,-543.46,-1.65,-1.65,0.79,34.93
46,271336787,-620.12,-597.17,-541.99,-1.10,-1.40,0.91,35.55
47,271340836,-625.49,-597.66,-542.48,-1.22,-1.71,0.85,35.46
48,271344885,-623.54,-600.10,-545.90,-1.71,-1.46,0.79,35.17
49,271348944,-628.42,-598.14,-542.97,-2.38,-1.16,0.37,35.17
50,271352993,-629.39,-600.59,-544.92,-2.44,-0.98,0.37,35.22
51,271358787,-628.91,-599.12,-545.90,-2.44,-0.73,0.00,35.22
52,271362836,-631.84,-594.73,-548.83,-2.07,-0.30,0.12,35.36
53,271366885,-628.42,-602.05,-550.29,-0.98,-0.30,-0.06,35.17
54,271370944,-627.44,-603.52,-542.48,-0.24,0.12,-0.37,35.41
55,271374993,-630.37,-601.07,-536.62,-0.06,0.30,-0.30,35.07
56,271380787,-628.91,-595.21,-540.04,0.12,0.37,-0.43,35.46
57,271384836,-621.09,-593.26,-541.50,0.79,0.12,-0.49,35.36
58,271388885,-623.54,-594.24,-536.62,0.79,-0.06,-0.37,35.03
59,271392944,-624.51,-596.19,-533.20,0.79,-0.30,-0.18,35.07
60,271396993,-625.00,-594.24,-532.71,0.67,-0.12,-0.37,35.46
61,271402787,-622.07,-591.80,-533.20,0.61,0.00,-0.43,35.55
62,271406836,-620.12,-592.29,-528.81,0.91,0.37,-0.55,35.07
63,271410885,-618.16,-590.33,-525.88,0.73,0.79,-0.37,34.93
64,271414944,-610.35,-588.87,-526.37,0.37,0.98,-0.24,35.46
65,271420787,-604.49,-594.24,-521.97,0.18,1.04,0.00,35.36
66,271424836,-604.00,-591.80,-515.62,-0.43,1.22,-0.43,35.27
67,271428885,-607.42,-593.75,-518.07,-0.49,1.16,-0.61,35.46
