seq,timestamp_us,ax_mg,ay_mg,az_mg,gx_dps,gy_dps,gz_dps,temp_c
0,97905053,642.09,-761.72,-33.69,3.17,9.76,4.21,35.55
1,97909116,713.87,-714.84,-85.94,4.63,-3.78,0.00,35.17
2,97913165,713.87,-714.84,-85.94,4.70,-1.04,1.89,35.46
3,97917214,735.35,-708.50,-166.50,2.50,5.49,-3.29,35.07
4,97921264,677.25,-666.02,-158.20,0.91,7.26,-0.85,35.22
5,97925314,670.41,-680.66,-144.04,-0.06,4.82,2.26,35.17
6,97929364,690.43,-706.05,-126.46,-0.37,2.80,2.68,35.17
7,97933413,705.08,-708.50,-122.56,-0.37,1.83,1.83,35.07
8,97937463,715.33,-699.71,-133.79,-0.85,1.59,1.28,35.22
9,97943798,722.17,-693.85,-129.88,-1.65,2.56,1.28,35.22
10,97947847,717.77,-703.61,-110.84,-2.07,3.78,1.71,35.46
11,97951897,714.84,-712.40,-102.54,-1.52,4.57,0.85,35.07
12,97955954,712.89,-706.54,-105.47,-1.04,4.57,0.00,35.46
13,97960003,705.57,-710.45,-106.45,-1.40,4.21,0.73,35.07
14,97964053,709.47,-703.61,-104.00,-1.95,2.74,0.30,35.07
15,97969798,715.82,-708.50,-92.77,-2.50,2.93,1.16,35.03
16,97973847,718.26,-716.31,-92.77,-2.26,1.95,1.65,35.22
17,97977897,723.14,-716.31,-90.82,-1.59,1.46,1.52,35.55
18,97981954,721.68,-720.70,-95.70,-1.95,0.67,1.46,35.27
19,97986003,711.43,-711.91,-74.71,-3.90,-0.67,1.65,35.46
20,97991798,703.12,-714.84,-59.57,-6.52,-4.88,2.56,35.46
21,97995847,746.58,-741.70,-76.17,-7.32,-7.26,3.78,35.46
22,97999897,757.32,-754.88,-81.05,-6.89,-6.34,2.99,35.46
23,98003954,745.61,-751.95,-74.71,-6.16,-4.76,1.28,35.46
24,98008003,733.40,-743.65,-64.94,-5.37,-4.82,0.73,35.46
25,98013798,744.14,-743.65,-62.50,-5.79,-5.73,0.73,35.46
26,98017847,754.88,-735.84,-56.64,-6.28,-4.51,0.43,35.22
27,98021897,747.07,-743.16,-61.04,-5.85,-3.17,-0.12,35.07
28,98025954,736.82,-740.23,-56.64,-4.76,-3.05,-1.59,35.46
29,98030003,727.05,-745.61,-58.59,-3.78,-5.12,-1.65,35.07
30,98035798,751.46,-730.96,-66.41,-3.60,-4.57,-1.83,35.46
31,98039847,748.54,-744.63,-71.29,-3.35,-2.62,-4.70,35.36
32,98043897,730.96,-741.70,-72.27,-2.74,-1.71,-5.91,35.22
33,98047954,727.05,-732.42,-77.64,-1.04,-2.56,-7.80,34.93
34,98052003,725.10,-720.21,-89.36,0.06,-2.07,-8.66,35.55
35,98057798,719.24,-715.82,-94.73,0.85,-0.79,-9.63,35.60
36,98061847,718.26,-709.47,-106.93,1.52,-0.12,-9.57,35.07
37,98065897,709.47,-704.59,-106.45,1.59,1.22,-9.45,35.46
38,98069954,711.43,-692.38,-112.79,1.16,1.71,-10.00,35.60
39,98074003,707.03,-683.59,-123.54,0.85,1.71,-9.02,35.17
40,98079798,699.22,-685.55,-127.44,-0.24,1.71,-8.11,35.36
41,98083847,687.01,-677.73,-125.98,-0.98,0.85,-6.71,35.55
42,98087897,691.89,-680.18,-126.95,-1.46,0.24,-5.49,35.22
43,98091954,736.33,-762.70,-167.97,-1.89,0.00,-4.02,35.55
44,98097798,661.62,-569.82,-83.50,-6.22,1.04,2.74,35.70
45,98101847,748.54,-706.54,-180.66,0.61,-4.09,-5.67,35.46
46,98105897,715.33,-630.37,-149.90,-5.91,4.09,-2.38,35.07
47,98109954,641.60,-662.11,-113.77,-8.72,-1.83,-1.34,35.46
48,98114003,691.41,-666.50,-111.82,-6.52,-7.87,2.20,35.46
49,98119798,722.66,-691.41,-102.05,-4.63,-7.74,1.40,35.07
50,98123847,723.14,-678.71,-107.42,-4.45,-5.61,0.98,35.46
51,98127897,698.24,-671.39,-96.68,-5.00,-4.21,2.50,35.46
52,98131954,720.70,-694.82,-93.26,-5.00,-3.17,3.35,35.07
53,98136003,720.70,-714.84,-87.40,-4.39,-0.91,1.52,35.22
54,98141798,716.80,-693.85,-86.91,-3.54,0.79,0.79,35.07
55,98145847,713.87,-697.27,-90.33,-4.63,2.32,2.26,35.46
56,98149897,713.87,-684.08,-71.29,-4.15,2.01,3.84,35.22
57,98153954,685.06,-683.59,-55.66,-3.84,0.55,6.52,35.22
58,98158003,691.41,-707.03,-66.41,-3.66,-1.95,6.65,35.46
59,98163798,705.08,-716.80,-82.52,-3.41,-1.40,4.88,35.55
60,98167847,703.61,-707.52,-86.91,-4.39,-0.55,4.33,35.07
61,98171897,707.52,-718.75,-76.17,-4.82,-0.61,4.57,34.93
62,98175954,715.33,-723.14,-75.68,-5.30,-0.12,3.48,35.03
63,98180003,714.84,-730.47,-77.15,-5.85,-0.30,2.62,35.46
64,98185798,707.03,-732.42,-86.91,-5.55,0.00,1.77,35.22
65,98189847,707.03,-735.35,-89.84,-4.51,-0.43,0.55,35.27
66,98193897,715.33,-739.75,-93.75,-3.72,-0.85,-0.12,35.27
67,98197954,712.89,-725.10,-95.70,-2.74,0.55,-2.26,35.07
68,98202003,697.75,-703.61,-93.26,-2.68,0.73,-2.07,35.07
69,98207798,692.87,-699.22,-92.29,-2.74,0.24,-1.04,35.46
70,98211847,697.27,-691.41,-91.80,-3.29,-0.67,0.67,35.22
71,98215897,709.47,-709.96,-96.19,-3.54,-0.98,1.52,35.17
72,98219954,716.31,-711.43,-108.89,-3.11,-0.55,0.91,35.46
73,98224003,708.98,-715.33,-110.84,-2.56,-0.06,0.61,35.55
74,98229798,701.17,-704.59,-97.17,-0.91,-0.43,-0.91,35.46
75,98233847,690.92,-679.69,-99.12,-0.61,-2.68,-0.12,35.17
76,98237897,694.34,-693.36,-116.21,-0.30,-3.90,0.91,35.22
77,98241954,702.15,-695.31,-125.00,0.18,-4.33,0.91,35.07
78,98246003,706.05,-687.99,-126.46,0.30,-3.60,-0.12,34.93
79,98251798,696.29,-684.57,-126.95,-0.49,-3.48,-0.12,35.17
80,98255847,686.52,-683.11,-129.88,-0.30,-3.05,0.00,35.17
81,98259897,687.50,-679.20,-132.81,-0.30,-3.11,0.06,35.36
82,98263954,688.96,-675.29,-139.16,-0.43,-2.38,0.85,35.22
83,98268003,693.85,-682.62,-139.65,-0.55,-1.34,1.16,35.17
84,98273798,690.92,-684.57,-142.58,-1.16,-0.49,1.65,35.22
85,98277847,694.82,-686.52,-129.88,-1.59,0.24,2.44,35.55
86,98281897,698.24,-693.85,-127.44,-1.89,1.16,2.68,35.55
87,98285954,700.20,-701.66,-125.00,-1.95,1.77,2.80,35.55
88,98290003,708.50,-703.12,-128.91,-1.28,2.01,3.23,35.22
89,98295798,710.94,-707.03,-116.21,-1.04,2.32,2.56,35.46
90,98299847,711.91,-708.01,-112.79,-0.30,1.89,1.71,35.41
91,98303897,700.20,-701.17,-112.79,-0.06,1.46,1.65,35.17
92,98307954,692.38,-710.45,-115.72,0.00,0.91,1.83,35.55
93,98313798,702.64,-709.47,-123.05,0.18,0.55,1.89,35.22
94,98317847,704.59,-705.08,-123.05,0.18,0.79,1.89,35.46
95,98321897,701.17,-699.71,-116.21,-0.12,0.55,2.99,35.27
96,98325954,712.40,-715.33,-117.19,-0.79,0.73,3.78,35.41
97,98330003,718.75,-718.75,-117.68,-1.16,1.34,3.66,35.22
98,98335798,716.80,-727.54,-116.21,-1.40,2.13,3.23,35.41
99,98339847,710.94,-718.75,-103.03,-1.52,1.22,2.62,35.22
100,98343897,715.33,-726.56,-107.91,-1.77,0.00,2.74,35.22
101,98347954,732.42,-732.91,-112.30,-2.01,-0.43,2.56,35.55
102,98352003,734.86,-732.91,-105.47,-2.13,-0.06,1.28,35.36
103,98357798,724.12,-723.63,-96.19,-2.44,-0.12,0.18,35.46
104,98361847,711.43,-715.33,-87.89,-2.74,-1.34,-0.18,35.46
105,98365897,712.89,-720.70,-83.50,-2.68,-2.26,0.12,35.07
106,98369954,713.38,-714.84,-92.77,-2.32,-2.20,0.18,35.46
107,98374003,722.66,-712.89,-92.29,-1.89,-2.07,0.24,35.07
108,98379798,729.00,-713.87,-95.70,-1.40,-1.34,0.30,35.46
109,98383847,726.56,-714.36,-98.63,-1.16,-0.43,-0.24,35.46
110,98387897,724.61,-707.03,-90.82,-1.04,0.67,-0.61,35.17
111,98391954,724.12,-719.24,-90.33,-0.55,1.04,-0.79,35.46
112,98396003,720.70,-705.08,-89.36,-0.06,2.07,-1.10,35.07
113,98401798,718.26,-695.31,-90.82,0.43,2.62,-0.18,35.22
