seq,timestamp_us,ax_mg,ay_mg,az_mg,gx_dps,gy_dps,gz_dps,temp_c
0,402225398,-251.46,-994.63,-2.93,7.20,2.38,2.32,34.31
1,402229463,-271.00,-988.77,-7.81,10.30,0.73,12.50,34.40
2,402233513,-260.74,-987.79,17.58,6.04,-2.56,15.73,34.12
3,402237562,-260.74,-987.79,17.58,0.85,-3.90,20.37,34.21
4,402241611,-279.30,-983.89,-23.44,1.65,-1.22,24.39,34.21
5,402245660,-303.22,-972.17,-19.53,4.02,0.37,24.94,34.31
6,402249709,-323.24,-953.61,-5.86,4.02,0.43,21.40,34.31
7,402253763,-338.38,-949.22,-1.95,4.02,0.12,14.57,34.36
8,402257812,-345.21,-956.54,-0.49,0.79,-0.37,5.55,34.31
9,402263787,-329.10,-959.47,-6.35,-1.16,-0.55,-2.38,34.21
10,402267836,-304.69,-968.26,-2.44,-1.59,-0.12,-7.50,34.31
11,402271886,-299.32,-978.03,-27.83,-2.44,-0.85,-9.02,34.31
12,402275944,-254.39,-996.09,-30.27,1.22,-3.29,-6.04,34.36
13,402279993,-253.91,-985.35,-0.98,2.93,-1.40,1.65,34.16
14,402285787,-259.28,-991.70,0.98,2.38,0.55,9.02,34.40
15,402289836,-291.02,-983.40,-15.62,1.10,-0.61,13.66,34.40
16,402293886,-305.66,-969.73,-3.91,0.98,-0.30,13.84,34.31
17,402297944,-311.52,-958.98,-3.42,0.37,-0.67,12.56,34.02
18,402301993,-321.29,-958.01,-7.81,0.12,-0.85,8.84,34.36
19,402307787,-330.57,-963.38,-8.79,0.37,-0.37,3.78,34.31
20,402311836,-324.22,-954.10,-1.95,0.00,-0.55,-2.26,34.21
21,402315886,-314.94,-966.80,0.98,-1.52,-0.85,-6.46,34.40
22,402319944,-300.29,-973.14,-9.28,-2.50,-1.34,-8.78,34.21
23,402323993,-292.48,-973.14,-9.28,-2.44,-1.16,-9.09,34.64
24,402329787,-280.76,-979.98,-8.79,-1.89,-0.91,-7.68,34.36
25,402333836,-287.11,-983.40,-13.67,-1.10,-0.98,-4.57,34.40
26,402337886,-281.74,-976.07,-10.74,-0.98,-0.85,-2.62,34.50
27,402341944,-286.62,-978.52,-10.74,-0.55,-1.10,-0.37,34.36
28,402345993,-293.95,-974.12,-3.42,-0.49,-0.43,1.40,34.31
29,402351787,-296.88,-976.07,-7.81,-0.98,-1.22,0.98,34.31
30,402355836,-306.15,-964.84,-9.77,-0.49,-0.85,-0.24,34.31
31,402359886,-304.20,-966.31,-6.84,-0.85,-1.04,-1.65,34.31
32,402363944,-291.50,-974.61,-8.30,2.01,5.91,-2.74,34.21
33,402367993,-307.62,-962.40,-13.67,-0.18,0.49,-4.63,34.40
34,402373787,-293.95,-976.07,-8.79,-0.30,-0.85,-5.12,34.40
35,402377836,-301.27,-973.14,-6.84,-0.98,2.07,-5.06,34.31
36,402381886,-289.06,-980.47,-22.95,-0.06,0.55,-4.94,34.31
37,402385944,-287.60,-977.05,-7.32,0.91,1.10,-3.90,34.40
38,402389993,-294.92,-978.52,-1.95,-0.49,0.67,-2.93,34.31
39,402395787,-289.06,-980.96,-15.14,-0.79,1.16,-2.01,34.12
40,402399836,-280.27,-977.05,-24.41,2.68,0.24,0.00,34.12
41,402403886,-288.57,-966.31,3.42,3.23,1.46,1.28,34.40
42,402407944,-281.25,-978.03,21.48,-3.48,-4.70,1.16,34.40
43,402411993,-287.11,-977.05,-34.18,9.15,12.50,4.70,34.12
44,402417787,-334.47,-951.66,-3.42,-0.24,0.30,1.16,34.12
45,402421836,-309.57,-965.82,29.79,-5.98,-2.87,-5.61,34.21
46,402425886,-298.83,-977.54,-34.18,-9.82,-4.33,-8.72,34.31
47,402429944,-278.81,-988.77,-62.50,-2.13,-0.91,-7.74,34.21
48,402433993,-307.13,-970.70,-13.18,4.70,1.46,-7.07,34.36
49,402439787,-337.40,-953.12,10.25,-0.18,-6.10,-13.54,34.40
50,402443836,-291.50,-971.19,12.21,-4.94,-4.82,-16.95,34.36
51,402447886,-292.48,-971.68,-26.86,-4.33,-3.41,-17.38,34.31
52,402451944,-286.62,-982.91,-30.27,-1.04,-3.23,-17.50,34.31
53,402455993,-284.67,-980.96,8.79,1.77,-0.49,-16.71,34.02
54,402461787,-267.58,-983.89,10.25,-3.41,-2.07,-15.85,34.36
55,402465836,-247.56,-1000.49,-27.83,-3.23,-1.52,-10.49,34.36
56,402469886,-249.51,-992.68,-10.25,0.18,0.85,-4.82,34.31
57,402473944,-261.72,-988.28,-5.37,-1.22,-1.22,0.55,34.50
58,402479787,-288.57,-977.54,-21.48,-0.79,-3.90,1.95,34.31
59,402483836,-301.27,-969.73,11.23,-2.99,-4.09,-1.10,34.31
60,402487886,-282.71,-980.47,-15.62,-4.63,-1.95,-3.17,34.31
61,402491944,-279.79,-984.86,-34.18,-1.28,-0.85,-3.05,34.16
62,402495993,-278.32,-982.91,-12.70,1.65,-0.43,-2.80,34.40
63,402501787,-280.76,-970.70,-10.74,0.49,-0.49,-3.17,34.55
64,402505836,-289.06,-972.17,-9.77,1.40,-0.18,-4.09,34.40
65,402509886,-297.36,-974.61,8.30,0.00,-0.37,-5.73,34.31
66,402513944,-277.34,-982.42,-11.23,-2.80,-1.22,-6.10,34.12
67,402517993,-268.07,-986.82,-20.02,-2.13,-1.28,-3.78,34.40
68,402523787,-267.58,-985.35,-16.11,-0.06,-1.16,-0.79,34.40
69,402527836,-279.79,-980.47,-2.44,-0.37,-0.85,1.22,34.21
70,402531886,-274.90,-977.05,-7.32,-0.79,-0.67,2.07,34.40
71,402535944,-273.44,-977.05,-11.23,-0.91,-0.55,2.99,34.02
72,402539993,-278.81,-983.89,-12.70,-0.12,-0.06,3.41,34.50
73,402545787,-280.27,-977.54,-11.23,0.30,-0.06,3.72,34.31
74,402549836,-282.23,-974.61,-7.32,-0.12,-0.43,4.27,34.31
