seq,timestamp_us,ax_mg,ay_mg,az_mg,gx_dps,gy_dps,gz_dps,temp_c
0,29668204,-244.63,-994.14,101.07,-1.22,-0.12,-4.15,33.68
1,29672267,-252.44,-998.54,43.95,-0.49,-1.40,3.35,33.97
2,29677787,-283.20,-976.56,72.75,2.99,0.30,7.99,33.83
3,29681836,-303.71,-962.89,78.12,0.67,0.12,7.20,33.88
4,29685885,-316.41,-962.40,73.24,-0.43,-0.06,3.90,33.97
5,29689943,-308.11,-967.29,68.85,-1.40,-0.61,0.49,33.83
6,29695787,-301.76,-968.75,68.36,-1.40,-0.43,-1.46,34.12
7,29699836,-295.41,-970.70,71.29,-0.98,-0.43,-2.32,34.02
8,29703885,-289.55,-978.52,70.80,-1.22,-0.55,-2.32,33.88
9,29707943,-285.16,-980.96,66.41,-1.34,-0.79,-1.10,33.97
10,29711992,-280.76,-979.00,60.06,-0.85,-0.85,0.61,33.78
11,29717787,-286.13,-971.68,65.92,-0.49,-0.85,1.95,34.02
12,29721836,-294.92,-977.54,70.80,0.06,-0.67,2.26,33.64
13,29725885,-297.36,-974.61,74.71,-0.18,-0.73,1.16,33.64
14,29729943,-298.34,-970.70,71.29,-0.79,-0.61,-0.12,33.97
15,29733992,-291.99,-975.59,71.29,-0.98,-0.67,-0.30,33.78
16,29739787,-288.57,-972.66,67.38,-0.98,-0.67,-0.24,33.78
17,29743836,-280.76,-975.59,69.82,-0.91,-0.79,0.55,33.78
18,29747885,-288.09,-977.54,69.34,-0.61,-0.79,0.67,33.88
19,29751943,-289.06,-980.47,73.24,-0.73,-0.43,0.67,33.88
20,29755992,-294.92,-977.54,76.66,-0.67,-0.67,0.85,33.49
21,29761787,-286.13,-973.14,73.24,-0.67,-0.61,0.98,33.97
22,29765836,-292.48,-973.63,67.38,-0.55,-0.98,1.10,33.59
23,29769885,-291.02,-975.59,70.31,-0.73,-0.61,1.22,33.88
24,29773943,-286.62,-970.21,70.31,-0.85,-0.85,1.16,33.88
25,29777992,-290.04,-972.17,71.78,-0.73,-1.22,1.40,33.97
26,29783787,-292.97,-980.47,74.22,-0.67,-1.16,1.16,33.83
27,29787836,-286.62,-973.63,74.71,-0.98,-1.16,1.10,33.83
28,29791885,-285.64,-977.05,69.34,-0.79,-0.98,1.59,33.68
29,29795943,-288.57,-976.56,66.41,-0.06,-1.04,2.32,33.78
30,29799992,-299.32,-974.61,69.34,0.06,-0.67,2.80,33.64
31,29805787,-297.36,-974.12,71.29,0.00,-0.79,2.44,33.88
