seq,timestamp_us,ax_mg,ay_mg,az_mg,gx_dps,gy_dps,gz_dps,temp_c
0,33107059,-568.85,-840.82,58.11,-2.80,-2.99,-1.40,34.36
1,33111122,-565.92,-845.70,38.09,-2.44,-1.40,-0.24,34.50
2,33115171,-565.92,-845.70,38.09,0.67,-0.79,0.98,34.55
3,33119220,-567.38,-841.31,59.08,0.61,-0.18,1.22,34.74
4,33123270,-569.34,-837.40,60.55,-0.49,-1.10,0.85,34.50
5,33127320,-570.31,-834.47,56.64,-0.91,-0.73,0.18,34.31
6,33131369,-570.80,-838.38,59.08,-1.22,-0.55,0.00,34.40
7,33135418,-570.31,-844.73,57.62,-1.46,-0.49,-0.06,34.50
8,33139468,-566.89,-842.29,52.73,-1.16,-0.73,0.43,34.50
9,33145799,-570.80,-844.73,57.13,-0.24,-0.85,0.49,34.40
10,33149848,-571.29,-839.36,62.99,-0.79,-0.67,-0.18,34.21
11,33153898,-571.29,-844.24,57.62,-1.34,-0.73,-0.67,34.40
12,33157955,-569.34,-842.29,55.18,-1.40,-0.73,-0.91,34.40
13,33162005,-567.38,-841.80,52.73,-1.04,-0.79,-0.79,34.31
14,33166054,-565.92,-843.75,56.15,-0.55,-0.98,-0.49,34.50
15,33171799,-567.87,-842.77,57.62,-0.24,-0.98,-1.10,34.50
16,33175848,-569.82,-842.29,59.08,-0.61,-0.85,-1.34,34.50
17,33179898,-569.34,-838.38,59.08,-0.85,-0.98,-1.65,34.40
18,33183955,-567.87,-841.31,59.57,-1.04,-0.98,-1.52,34.21
19,33188005,-567.38,-845.21,57.13,-1.28,-0.79,-1.52,34.50
20,33193799,-563.48,-844.24,55.18,-0.85,-0.85,-0.37,34.64
21,33197848,-564.45,-837.89,56.64,-0.61,-0.91,0.67,34.55
22,33201898,-562.01,-846.68,60.55,-0.49,-0.61,1.28,34.40
23,33205955,-569.34,-836.43,63.48,-0.55,-0.67,1.40,34.02
24,33210005,-564.45,-837.89,62.99,-0.79,-0.61,1.46,34.50
25,33215799,-570.80,-844.73,59.57,-0.85,-0.49,1.89,34.31
26,33219848,-570.31,-839.84,62.99,-0.73,-0.49,1.83,34.64
27,33223898,-573.24,-839.36,61.04,-0.85,-0.37,1.77,34.36
28,33227955,-570.80,-837.40,64.45,-0.91,-0.67,1.22,34.50
29,33232005,-575.20,-843.26,59.57,-0.67,-0.24,1.22,34.40
30,33237799,-570.80,-845.21,58.59,-0.91,-0.67,0.67,34.12
31,33241848,-566.89,-837.89,59.57,-0.61,-0.37,0.61,34.21
32,33245898,-573.24,-841.80,58.59,-0.73,-0.85,0.61,34.31
33,33249955,-574.22,-842.29,59.57,-0.73,-0.67,0.49,34.40
34,33255799,-570.80,-838.87,58.59,-0.61,-0.79,0.24,34.31
35,33259848,-573.73,-845.70,56.64,-0.55,-0.49,0.18,34.50
36,33263898,-573.24,-840.82,55.66,-0.55,-0.67,0.06,34.12
37,33267955,-566.41,-839.36,58.11,-0.91,-0.73,0.00,34.36
38,33272005,-570.80,-844.24,58.11,-0.91,-0.67,-0.18,34.55
