seq,timestamp_us,ax_mg,ay_mg,az_mg,gx_dps,gy_dps,gz_dps,temp_c
0,249377884,411.13,661.13,-615.72,-0.49,0.37,-0.18,34.50
1,249381952,406.25,661.62,-613.77,-0.73,0.18,-0.55,34.21
2,249386002,406.25,661.62,-613.77,-1.22,0.55,-0.67,34.40
3,249390051,402.83,666.02,-613.28,-1.40,0.85,-0.67,34.40
4,249394101,399.90,666.99,-608.40,-1.28,0.67,-0.61,34.50
5,249398150,395.02,662.11,-606.45,-1.28,0.61,-0.37,34.50
6,249402200,396.97,669.92,-604.49,-1.16,0.37,-0.24,34.40
7,249406249,393.55,671.87,-604.98,-1.04,-0.12,-0.37,34.50
8,249411803,399.41,666.02,-601.56,-0.91,-0.30,-0.30,34.36
9,249415852,399.90,665.04,-604.49,-1.10,-0.24,-0.49,34.64
10,249419902,398.93,661.62,-607.91,-1.16,-0.30,-0.43,34.36
11,249423959,393.55,658.69,-606.93,-1.10,-0.18,-0.37,34.74
12,249428008,396.48,661.62,-604.98,-1.16,-0.12,0.18,34.31
13,249433803,397.95,660.64,-604.49,-0.85,-0.18,0.30,34.50
14,249437852,399.41,660.16,-606.45,-0.85,-0.24,0.30,34.50
15,249441902,402.83,660.64,-605.96,-0.98,-0.12,0.24,34.21
16,249445959,405.27,657.71,-607.42,-0.61,-0.55,-0.12,34.40
17,249451803,406.25,658.69,-610.84,-0.30,-0.67,-0.12,34.40
18,249455852,412.60,655.27,-607.91,-0.24,-0.30,0.06,34.50
19,249459902,411.13,656.25,-608.40,-0.24,-0.67,0.12,34.64
20,249463959,412.60,655.76,-610.35,0.06,-0.24,-0.06,34.40
21,249468008,411.62,657.71,-614.26,-0.12,-0.49,-0.24,34.31
22,249473803,412.60,654.79,-616.70,0.12,-0.55,-0.37,34.64
23,249477852,411.62,655.76,-622.56,-0.37,-0.30,-0.49,34.50
24,249481902,411.13,653.32,-621.58,-0.61,-0.18,-1.04,34.40
25,249485959,406.74,657.23,-622.56,-0.43,-0.18,-0.79,34.31
26,249490008,404.30,654.30,-625.98,-1.04,-0.37,-0.73,34.40
27,249495803,404.79,654.30,-622.07,-0.61,-0.49,-0.79,34.55
28,249499852,394.53,659.67,-626.46,-0.85,-0.61,-0.73,34.50
29,249503902,395.51,666.99,-622.07,-1.28,-0.91,-0.55,34.55
30,249507959,394.53,661.13,-619.14,-1.22,-1.10,-0.55,34.40
31,249512008,396.97,666.50,-622.07,-1.52,-1.59,-0.37,34.64
32,249517803,394.53,666.50,-628.91,-1.46,-1.65,-0.18,34.55
33,249521852,393.07,668.95,-625.49,-1.40,-2.07,0.18,34.40
34,249525902,390.14,671.87,-620.61,-1.52,-2.62,0.18,34.50
35,249529959,396.97,666.99,-622.56,-1.28,-2.80,0.30,34.50
36,249534008,398.93,665.04,-616.21,-1.28,-2.87,-0.30,34.74
37,249539803,402.83,660.64,-612.79,-1.22,-2.68,-0.30,34.74
38,249543852,402.34,656.74,-611.82,-1.16,-2.50,0.12,34.40
39,249547902,409.67,655.27,-609.86,-1.16,-2.26,0.00,34.40
40,249551959,400.39,651.86,-611.82,-0.98,-2.20,0.43,34.64
41,249556008,392.58,656.25,-612.30,-0.67,-2.62,0.43,34.31
42,249561803,398.44,655.27,-615.72,-0.43,-3.11,0.55,34.21
43,249565852,400.39,659.18,-610.84,0.18,-3.23,0.37,34.50
44,249569902,401.37,660.16,-609.86,0.49,-3.29,0.43,34.64
45,249573959,406.25,652.83,-604.00,0.98,-3.41,0.67,34.88
46,249578008,406.74,655.76,-602.05,1.04,-3.29,0.61,34.40
47,249583803,402.34,654.30,-603.52,1.10,-2.99,0.61,34.40
48,249587852,398.93,656.74,-605.96,1.46,-2.93,0.55,34.50
49,249591902,403.81,651.37,-603.52,1.52,-2.74,0.49,34.64
50,249595959,406.25,660.64,-604.49,1.65,-2.44,0.06,34.40
51,249600008,403.81,659.67,-597.66,1.40,-1.83,-0.30,34.40
52,249605803,409.18,658.69,-592.29,1.59,-1.46,-0.24,34.36
53,249609852,410.16,662.60,-599.12,1.59,-1.04,-0.30,34.55
54,249613902,407.71,660.16,-604.00,1.65,-0.98,-0.37,34.64
55,249617959,408.20,665.53,-604.98,1.83,-1.10,-0.24,34.50
56,249622008,406.25,667.48,-607.42,1.40,-0.79,-0.12,34.64
57,249627803,404.79,666.50,-606.93,1.04,-1.59,-0.12,34.40
