seq,timestamp_us,ax_mg,ay_mg,az_mg,gx_dps,gy_dps,gz_dps,temp_c
0,223611333,456.54,657.23,-572.27,-0.61,-1.46,0.06,34.55
1,223615397,457.52,652.83,-577.15,-0.73,-1.34,0.18,34.64
2,223621803,464.84,654.79,-574.22,-0.85,-1.40,-0.37,34.36
3,223625852,464.84,654.79,-574.22,-1.04,-0.85,-0.91,34.50
4,223629902,460.45,652.83,-572.27,-1.22,-0.55,-0.79,34.64
5,223633959,459.96,656.74,-571.29,-1.28,-0.85,-1.10,34.21
6,223638008,455.57,655.27,-571.29,-1.16,-0.91,-0.98,34.64
7,223642058,456.54,652.34,-569.34,-1.16,-0.85,-1.16,34.40
8,223646107,456.54,656.25,-567.38,-0.98,-1.22,-1.16,34.21
9,223651803,456.54,655.76,-562.99,-1.10,-1.52,-1.10,34.40
10,223655852,458.50,662.60,-560.55,-1.28,-1.52,-1.34,34.64
11,223659902,457.03,662.60,-564.45,-1.40,-1.52,-1.34,34.36
12,223663959,458.01,661.62,-566.89,-1.46,-1.77,-1.04,34.50
13,223668008,459.47,662.11,-567.87,-1.46,-1.40,-1.28,34.55
14,223673803,458.01,660.64,-564.94,-1.71,-1.77,-1.22,34.55
15,223677852,460.45,663.09,-561.52,-1.83,-1.52,-1.46,34.88
16,223681902,458.50,658.20,-561.52,-1.83,-1.59,-1.52,34.50
17,223685959,452.64,656.25,-562.50,-1.65,-1.77,-1.34,34.64
18,223691803,454.59,651.37,-560.06,-1.89,-1.83,-0.98,34.74
19,223695852,455.08,655.27,-560.06,-1.65,-1.71,-0.91,34.50
20,223699902,457.03,662.11,-551.76,-1.65,-1.71,-0.61,34.40
21,223703959,463.87,659.67,-556.64,-1.40,-1.95,-0.61,34.64
22,223708008,465.82,658.20,-562.50,-1.16,-2.20,-0.43,34.50
23,223713803,464.84,656.74,-566.41,-1.34,-1.95,-0.43,34.64
24,223717852,467.77,652.34,-569.82,-1.28,-1.52,-0.49,34.40
25,223721902,467.29,662.11,-563.96,-1.46,-1.28,-0.55,34.55
26,223725959,469.24,655.76,-565.43,-1.46,-1.10,-0.37,34.21
27,223730008,461.43,657.71,-564.45,-1.89,-0.85,-0.24,34.40
28,223735803,466.80,661.13,-567.87,-1.34,-0.79,-0.43,34.50
29,223739852,468.75,661.62,-568.85,-1.65,-1.10,-0.12,34.40
30,223743902,463.38,655.76,-572.27,-1.46,-1.28,-0.12,34.16
31,223747959,464.84,657.71,-567.87,-1.71,-1.04,0.00,34.31
32,223752008,461.91,661.13,-564.45,-1.83,-1.34,-0.12,34.64
33,223757803,461.91,655.27,-564.45,-1.65,-1.28,-0.06,34.55
34,223761852,458.98,653.81,-568.36,-1.59,-0.91,-0.18,34.21
35,223765902,461.43,651.37,-567.87,-1.28,-1.34,-0.30,34.40
36,223769959,461.91,650.88,-564.94,-1.46,-0.91,-0.18,34.40
37,223774008,465.33,650.39,-561.04,-1.59,-0.85,-0.43,34.40
38,223779803,459.96,649.90,-562.01,-1.83,-0.73,-0.61,34.50
39,223783852,454.10,654.30,-563.48,-1.52,-1.28,-0.61,34.21
40,223787902,456.54,653.32,-569.34,-1.40,-1.59,-0.37,34.55
41,223791959,456.05,656.74,-568.85,-1.22,-1.95,-0.61,34.40
42,223796008,455.08,660.16,-568.36,-1.16,-2.62,-0.79,34.12
43,223801803,449.71,655.27,-570.80,-1.52,-2.50,-0.55,34.31
44,223805852,454.10,659.18,-565.92,-1.22,-2.50,-0.49,34.21
45,223809902,456.54,658.20,-569.82,-1.34,-2.56,-0.37,34.31
46,223813959,451.66,665.53,-567.38,-1.83,-2.50,-0.30,34.64
47,223818008,451.66,663.09,-567.87,-1.16,-2.38,-0.12,34.31
48,223823803,455.57,667.48,-565.92,-1.04,-1.83,-0.12,34.36
49,223827852,445.31,661.62,-574.71,-0.85,-2.87,0.18,34.50
50,223831902,450.20,651.86,-570.31,-1.10,-3.35,0.61,34.40
51,223835959,446.78,661.13,-561.04,-1.10,-2.87,0.79,34.64
52,223840008,456.54,669.92,-567.38,-1.22,-3.17,0.85,34.36
53,223845803,457.52,670.41,-559.57,-1.46,-1.89,0.61,34.31
54,223849852,456.54,665.04,-562.99,-1.59,-1.34,0.43,34.50
55,223853902,453.61,661.13,-572.27,-1.77,-1.22,0.55,34.64
56,223857959,452.15,662.11,-578.61,-1.16,-1.52,0.91,34.69
57,223862008,452.15,659.67,-571.78,-0.91,-1.95,0.98,34.50
58,223867803,456.54,654.30,-573.73,-0.73,-2.01,0.67,34.31
59,223871852,456.54,658.20,-581.54,-0.79,-2.44,0.79,34.40
60,223875902,462.89,659.18,-582.03,-0.24,-1.89,0.67,34.40
61,223879959,464.84,664.55,-587.89,-0.30,-1.83,0.55,34.40
62,223884008,464.36,660.64,-583.50,-0.43,-1.34,0.61,34.64
63,223889803,461.43,659.18,-580.08,-0.49,-1.52,0.30,34.88
64,223893852,460.94,657.71,-582.52,-0.18,-1.59,0.06,34.64
