seq,timestamp_us,ax_mg,ay_mg,az_mg,gx_dps,gy_dps,gz_dps,temp_c
0,171751867,549.80,646.48,-506.35,-0.49,-0.12,-0.55,34.40
1,171755931,548.34,643.07,-504.88,-0.24,0.18,-0.98,34.21
2,171761803,549.80,640.62,-505.86,-0.61,0.24,-0.91,34.31
3,171765852,549.32,639.65,-503.91,-0.24,0.43,-0.98,34.31
4,171769902,551.76,639.65,-507.81,-0.30,0.37,-1.28,34.50
5,171773959,554.69,640.14,-503.42,-0.06,0.37,-1.16,34.40
6,171778008,548.34,631.35,-503.91,-0.30,0.55,-1.10,34.64
7,171783803,550.78,635.25,-510.74,-0.43,0.43,-0.91,34.21
8,171787852,551.76,633.79,-511.72,-0.43,0.43,-0.73,34.21
9,171791902,550.78,634.28,-515.14,-0.61,0.06,-0.61,34.55
10,171795959,551.76,630.37,-515.62,-0.61,0.12,-0.49,34.50
11,171800008,550.29,628.91,-517.58,-0.73,0.49,-0.43,34.21
12,171805803,552.73,626.46,-516.60,-0.79,0.61,-0.43,34.12
13,171809852,553.22,623.05,-514.65,-1.10,0.61,-0.06,34.12
14,171813902,546.88,623.05,-519.04,-0.61,0.79,0.24,34.69
15,171817959,547.85,619.63,-518.07,-0.79,0.49,0.37,34.31
16,171822008,548.34,621.09,-526.86,-0.79,0.18,0.79,34.12
17,171827803,548.83,619.63,-518.07,-0.67,-0.06,1.22,34.21
18,171831852,549.32,628.42,-521.00,-0.73,-0.43,1.34,34.36
19,171835902,551.76,626.95,-520.02,-0.61,-0.79,1.16,34.36
20,171839959,557.62,625.49,-516.60,-0.49,-0.55,1.46,34.40
21,171844008,553.71,628.91,-517.09,-0.67,-0.30,1.40,34.36
22,171849803,550.29,627.44,-513.67,-0.55,-0.06,1.34,34.21
23,171853852,548.83,622.56,-512.70,-0.43,-0.37,1.65,34.40
24,171857902,538.09,627.93,-516.11,0.06,-0.67,1.71,34.55
25,171861959,547.36,640.14,-512.70,0.18,-1.83,1.77,34.55
26,171866008,550.29,648.44,-505.86,0.06,-1.95,1.77,34.31
27,171871803,551.27,658.20,-504.39,-0.18,-1.83,1.52,34.36
28,171875852,551.76,656.74,-508.30,-0.55,-1.22,0.73,34.40
29,171879902,552.73,651.37,-507.81,-0.79,-0.98,0.49,34.36
30,171883959,547.85,650.39,-500.98,-1.22,0.30,0.37,34.69
31,171888008,541.50,647.46,-500.00,-1.28,1.46,0.24,34.64
32,171893803,539.06,650.39,-492.19,-1.59,2.56,0.37,34.31
33,171897852,529.30,647.46,-500.49,-1.40,2.56,0.49,34.31
34,171901902,527.34,651.37,-505.37,-1.16,2.62,0.37,34.16
35,171905959,525.39,647.95,-509.28,-1.59,2.56,0.37,34.31
36,171911803,521.48,644.53,-508.79,-1.95,2.07,0.37,34.55
37,171915852,518.07,639.16,-515.14,-1.71,1.83,0.73,34.31
38,171919902,518.07,643.07,-507.32,-1.28,1.46,0.55,34.50
39,171923959,519.04,640.62,-515.14,-1.34,1.10,0.49,34.21
40,171928008,525.88,644.53,-514.65,-1.10,1.16,0.37,34.50
41,171933803,522.46,644.53,-509.77,-1.34,1.16,0.18,34.36
42,171937852,522.46,645.02,-518.55,-0.73,0.49,0.79,34.55
43,171941902,522.46,639.16,-511.72,-0.37,-0.06,0.43,34.55
44,171945959,529.79,642.09,-518.55,0.24,-0.85,0.55,34.40
45,171950008,535.16,642.09,-512.70,0.79,-1.16,0.37,34.50
