seq,timestamp_us,ax_mg,ay_mg,az_mg,gx_dps,gy_dps,gz_dps,temp_c
0,275611915,561.52,546.88,-594.24,-0.67,0.55,-1.04,34.69
1,275615984,564.45,542.97,-598.14,-0.43,0.37,-0.73,34.40
2,275620034,561.04,542.48,-597.17,-0.43,0.06,-0.61,34.50
3,275625803,557.62,542.97,-602.05,-0.12,-0.55,-0.18,34.50
4,275629852,564.94,546.39,-597.17,-0.24,-0.37,-0.12,34.50
5,275633902,563.48,547.85,-601.56,-0.12,-0.24,-0.18,34.21
6,275637959,564.45,543.95,-597.17,-0.43,-0.24,0.00,34.40
7,275642008,568.85,545.90,-597.17,-0.61,-0.30,0.06,34.31
8,275647803,564.94,549.32,-598.63,-0.30,0.00,0.43,34.40
9,275651852,556.64,545.41,-598.63,-0.24,-0.18,0.12,34.74
10,275655902,564.45,543.95,-599.12,-0.12,0.12,-0.18,34.31
11,275659959,566.89,538.09,-597.17,-0.06,0.37,-0.37,34.69
12,275665803,569.34,538.09,-605.47,-0.12,0.61,-0.43,34.64
13,275669852,561.04,539.55,-607.91,-0.12,0.61,-0.49,34.50
14,275673902,563.48,536.62,-609.38,-0.06,0.30,-0.12,34.50
15,275677959,557.13,536.62,-608.40,0.12,0.06,0.12,34.36
16,275682008,555.18,540.04,-609.38,0.37,-0.67,0.12,34.64
17,275687803,556.15,542.97,-607.42,0.37,-1.28,0.06,34.50
18,275691852,557.13,541.99,-606.45,0.79,-1.77,-0.12,34.64
19,275695902,564.45,543.46,-611.82,0.73,-1.89,-0.37,34.64
20,275699959,563.48,548.34,-606.93,0.61,-2.01,-0.30,34.40
21,275704008,562.50,548.34,-612.79,0.30,-1.83,-0.55,34.36
22,275709803,563.96,545.41,-612.79,0.18,-1.10,-0.67,34.50
23,275713852,554.69,542.48,-607.91,0.00,-0.73,-1.22,34.64
24,275717902,558.59,540.53,-612.30,-0.24,-0.91,-1.04,34.50
25,275721959,551.27,542.48,-610.84,-0.43,-0.79,-0.98,34.50
26,275726008,557.13,545.41,-606.45,-0.49,-0.61,-0.85,34.40
27,275731803,554.20,543.46,-604.98,-0.43,-0.49,-1.34,34.40
28,275735852,552.25,539.55,-606.45,-0.12,-0.98,-0.98,34.50
29,275739902,549.32,541.99,-605.47,-0.12,-1.28,-0.98,34.64
30,275743959,546.88,543.46,-609.38,0.18,-1.65,-0.61,34.50
31,275748008,553.22,545.90,-607.42,0.37,-1.77,-0.55,34.40
32,275753803,550.78,542.97,-603.52,0.55,-2.01,-0.79,34.21
33,275757852,558.59,544.43,-608.89,0.91,-2.50,-0.79,34.31
34,275761902,556.15,548.83,-608.89,1.04,-2.56,-0.73,34.21
35,275765959,552.25,555.18,-604.49,1.10,-3.17,-0.43,34.50
36,275770008,557.13,554.20,-613.77,0.98,-3.66,-0.43,34.69
37,275775803,552.25,550.78,-604.49,0.98,-3.23,-0.49,34.21
38,275779852,555.66,551.76,-602.54,0.79,-2.99,-0.61,34.50
39,275783902,559.08,557.62,-604.49,0.79,-3.17,-0.55,34.50
40,275787959,559.08,552.25,-606.93,0.73,-3.23,-0.49,34.21
41,275792008,556.15,555.18,-603.52,0.67,-2.87,-0.61,34.40
42,275797803,554.69,552.25,-607.42,0.43,-2.44,-0.67,34.31
43,275801852,554.69,557.13,-610.35,0.43,-2.74,-0.37,34.50
44,275805902,548.34,555.66,-604.49,0.43,-2.32,-0.49,34.64
45,275809959,552.25,554.69,-604.00,0.67,-2.50,-0.24,34.64
46,275814008,554.69,554.20,-608.89,0.85,-3.05,-0.43,34.36
47,275819803,549.80,552.25,-607.91,1.04,-2.74,-0.37,34.50
48,275823852,554.69,550.29,-600.59,0.73,-2.68,-0.24,34.50
49,275827902,551.27,551.76,-594.73,0.73,-2.32,-0.30,34.64
50,275831959,546.88,548.83,-602.05,0.61,-2.32,-0.30,34.50
51,275836008,547.36,546.88,-596.68,0.67,-2.26,-0.43,34.64
52,275841803,551.76,539.06,-596.68,0.79,-2.32,-0.18,34.55
53,275845852,554.69,542.48,-600.10,0.85,-2.32,-0.37,34.64
54,275849902,557.13,543.46,-603.52,0.98,-2.74,-0.24,34.40
55,275853959,561.52,545.90,-603.03,0.73,-2.50,-0.24,34.64
56,275858008,562.99,540.04,-604.00,0.55,-2.20,-0.37,34.64
57,275863803,565.92,542.97,-604.00,0.49,-2.20,-0.06,34.40
58,275867852,565.92,545.41,-599.61,0.24,-1.10,-0.06,34.74
59,275871902,562.50,538.57,-599.61,0.30,-0.91,-0.30,34.36
60,275875959,562.99,538.57,-601.07,-0.06,-0.55,-0.67,34.50
61,275881803,562.99,541.50,-602.54,-0.24,-0.49,-0.73,34.50
62,275885852,562.50,539.06,-598.14,-0.12,-0.12,-0.73,34.69
63,275889902,563.48,541.02,-604.00,0.12,-0.06,-0.79,34.50
64,275893959,560.06,541.99,-603.52,0.24,0.30,-0.73,34.64
65,275898008,563.48,543.46,-602.54,0.06,0.24,-0.67,34.55
66,275903803,562.99,541.50,-609.38,0.30,-0.18,-0.55,34.55
67,275907852,558.11,540.04,-608.89,0.30,-0.37,-0.43,34.64
68,275911902,552.25,541.50,-608.89,0.55,-0.55,-0.12,34.55
69,275915959,559.08,542.48,-612.79,0.12,-0.55,0.06,34.21
70,275920008,557.62,541.99,-606.45,-0.18,-0.12,0.00,34.40
71,275925803,559.57,547.36,-607.42,-0.91,0.18,-0.12,34.40
72,275929852,559.08,546.39,-614.26,-1.04,0.55,0.00,34.50
73,275933902,554.69,544.92,-612.30,-1.46,1.04,0.30,34.55
74,275937959,553.22,546.39,-613.77,-1.52,1.16,0.00,34.36
75,275942008,554.20,541.02,-609.38,-1.77,1.83,0.00,34.64
76,275947803,544.43,536.62,-605.96,-2.20,1.40,-0.06,34.55
77,275951852,552.25,541.99,-608.89,-1.83,1.52,-0.37,34.40
78,275955902,548.83,534.67,-606.93,-1.59,1.34,-0.06,34.64
79,275959959,557.13,535.16,-607.91,-2.01,1.34,-0.18,34.83
80,275964008,554.69,530.76,-609.38,-1.83,0.43,-0.06,34.64
81,275969803,548.34,527.83,-616.70,-1.34,-0.55,0.30,34.36
82,275973852,548.34,530.76,-622.07,-0.49,-2.62,0.98,34.36
83,275977902,550.29,539.06,-622.07,-0.43,-3.84,1.16,34.69
84,275981959,554.69,539.55,-621.09,0.00,-5.18,1.46,34.50
85,275986008,562.01,541.02,-623.05,-0.49,-5.67,1.52,34.40
86,275991803,569.82,547.85,-619.14,-0.73,-5.67,1.34,34.36
87,275995852,571.29,552.25,-616.21,-1.28,-5.06,0.85,34.31
88,275999902,568.36,553.71,-614.26,-1.71,-4.94,1.22,34.64
89,276003959,569.82,550.78,-611.82,-2.20,-4.57,0.85,34.64
90,276008008,565.43,550.29,-606.45,-2.32,-3.66,0.55,34.50
91,276013803,566.89,556.15,-603.03,-2.87,-2.99,0.06,34.50
92,276017852,563.48,550.78,-608.40,-3.05,-2.13,-0.67,34.50
93,276021902,564.45,548.83,-604.49,-3.23,-1.59,-0.67,34.83
94,276025959,558.59,544.43,-602.05,-3.78,-1.10,-1.22,34.50
95,276030008,552.73,539.55,-603.03,-4.02,-0.85,-1.22,34.40
96,276035803,550.78,541.99,-608.40,-3.72,-1.04,-0.91,34.64
97,276039852,543.95,534.67,-609.38,-3.96,-1.65,-1.46,34.50
98,276043902,541.99,539.55,-610.84,-3.72,-2.01,-1.10,34.36
99,276047959,540.53,536.62,-606.93,-3.60,-3.17,-1.10,34.64
100,276052008,540.04,536.13,-605.47,-3.23,-4.21,-0.91,34.31
101,276057803,549.80,534.67,-605.47,-2.68,-4.88,-0.49,34.40
102,276061852,553.22,539.06,-603.52,-2.68,-5.18,-0.55,34.50
103,276065902,557.13,541.02,-602.05,-2.56,-5.24,-0.49,34.55
104,276069959,551.76,541.50,-600.59,-2.32,-4.82,-0.55,34.64
105,276074008,546.39,541.02,-600.10,-2.32,-4.76,-0.67,34.36
106,276079803,547.85,544.92,-603.03,-2.62,-4.51,-0.61,34.40
107,276083852,550.29,550.78,-603.52,-2.56,-4.88,-0.24,34.36
108,276087902,549.32,541.02,-600.10,-2.20,-4.94,-0.18,34.31
109,276091959,553.22,549.80,-596.19,-1.95,-5.12,-0.06,34.50
110,276097803,554.20,553.22,-601.56,-2.13,-5.24,0.24,34.40
111,276101852,557.13,548.34,-598.14,-1.95,-4.94,0.18,34.40
112,276105902,554.20,555.18,-598.63,-2.26,-4.70,0.18,34.40
113,276109959,560.55,551.76,-602.54,-2.13,-4.21,0.37,34.36
114,276114008,561.04,549.32,-593.26,-2.26,-3.72,0.43,34.31
115,276118058,556.64,551.76,-591.80,-2.50,-3.23,0.18,34.50
116,276123803,561.52,551.76,-589.36,-2.68,-2.56,0.37,34.50
117,276127852,558.11,550.29,-588.87,-2.68,-2.13,0.18,34.40
118,276131902,554.69,552.73,-585.45,-3.05,-1.77,-0.12,34.40
119,276135959,559.57,551.27,-586.91,-3.35,-1.28,0.06,34.64
120,276141803,559.57,547.36,-583.50,-4.09,-0.73,-0.06,34.74
121,276145852,553.22,549.80,-585.94,-4.27,-0.37,-0.24,34.50
122,276149902,551.76,548.34,-585.94,-4.15,-0.30,-0.18,34.36
123,276153959,546.88,546.39,-586.91,-4.33,-0.49,-0.24,34.21
124,276158008,544.43,545.41,-585.45,-4.45,-0.43,-0.12,34.40
125,276163803,542.97,548.83,-588.87,-4.39,-0.91,-0.06,34.69
126,276167852,538.57,545.90,-581.54,-4.33,-1.40,0.06,34.64
127,276171902,542.48,543.46,-589.36,-4.45,-2.32,0.18,34.50
128,276175959,541.99,547.36,-588.87,-4.27,-2.62,0.12,34.64
129,276180008,543.46,550.78,-591.31,-4.33,-3.29,0.30,34.40
130,276185803,543.46,553.71,-596.19,-4.15,-3.23,0.12,34.36
131,276189852,542.48,552.73,-598.63,-4.21,-3.41,0.30,34.50
132,276193902,547.36,558.59,-593.26,-4.39,-3.23,0.06,34.64
133,276197959,549.80,556.15,-594.24,-4.70,-2.74,-0.49,34.64
134,276202008,548.34,559.08,-595.70,-4.63,-2.50,-0.43,34.64
135,276207803,548.34,563.96,-591.80,-4.76,-2.20,-0.55,34.64
136,276211852,550.78,567.38,-595.21,-4.94,-1.77,-0.55,34.36
137,276215902,551.27,566.89,-600.59,-4.94,-1.52,-0.67,34.64
138,276219959,553.71,565.43,-597.66,-5.24,-1.40,-0.79,34.50
139,276224008,551.76,567.87,-602.05,-5.67,-1.04,-1.22,34.31
140,276229803,556.15,566.89,-604.00,-5.61,-0.91,-1.10,34.31
141,276233852,549.32,564.94,-601.56,-5.73,-0.85,-1.10,34.31
142,276237902,552.73,563.96,-602.05,-5.67,-0.73,-0.85,34.64
143,276241959,547.36,561.52,-606.45,-5.73,-1.22,-1.10,34.31
144,276246008,551.27,558.11,-607.42,-5.30,-1.10,-0.85,34.21
145,276251803,552.73,562.01,-602.05,-5.43,-1.10,-0.98,34.50
146,276255852,560.06,562.01,-609.86,-5.43,-1.10,-1.16,34.36
147,276259902,556.15,560.06,-609.86,-5.24,-1.34,-1.16,34.50
148,276263959,559.57,559.08,-614.75,-5.55,-0.91,-1.40,34.64
149,276268008,551.27,556.64,-613.77,-5.79,-0.79,-1.46,34.36
