seq,timestamp_us,ax_mg,ay_mg,az_mg,gx_dps,gy_dps,gz_dps,temp_c
0,32007460,723.14,479.00,-433.59,-0.73,1.16,0.12,34.36
1,32011527,721.19,479.49,-419.92,-0.49,0.98,0.61,34.12
2,32015577,716.80,484.86,-429.69,-0.12,-0.06,0.67,34.02
3,32021803,725.59,485.84,-430.18,-0.06,-0.91,0.73,34.36
4,32025852,729.00,493.65,-429.69,-0.12,-1.40,0.85,34.31
5,32029902,732.91,495.12,-424.32,-0.24,-1.46,0.79,34.21
6,32033959,742.68,502.93,-423.83,-0.37,-1.65,0.79,34.12
7,32038008,745.12,499.51,-424.32,-0.67,-1.04,0.67,34.21
8,32042058,743.65,498.05,-422.36,-1.10,-0.37,1.04,33.68
9,32047803,747.07,499.02,-425.29,-1.77,0.98,0.85,34.16
10,32051852,739.75,493.16,-416.02,-2.32,2.07,0.61,34.16
11,32055902,738.77,487.79,-425.78,-2.44,2.26,0.43,34.21
12,32059959,732.91,488.77,-422.85,-2.80,1.95,0.37,34.40
13,32064008,741.70,492.19,-426.76,-2.56,1.28,0.24,34.12
14,32069803,741.21,495.61,-424.32,-2.50,0.49,0.18,34.12
15,32073852,744.14,500.49,-433.11,-2.44,0.18,-0.12,34.40
16,32077902,740.72,498.05,-426.76,-2.44,-0.61,-0.43,33.97
17,32081959,737.30,494.63,-432.13,-2.38,-0.49,-0.55,34.21
18,32087803,732.42,490.23,-429.20,-2.74,0.37,-0.55,34.02
19,32091852,729.98,490.23,-421.87,-2.74,0.06,-0.30,34.36
20,32095902,725.10,492.68,-433.59,-2.13,-0.43,-0.61,34.40
21,32099959,727.05,493.16,-441.89,-2.07,-1.28,-0.18,33.97
22,32104008,721.19,491.21,-439.45,-1.59,-1.95,0.43,34.31
23,32109803,711.91,490.23,-436.04,-1.46,-2.80,0.67,34.31
24,32113852,718.26,493.65,-432.62,-0.98,-4.02,0.00,34.31
25,32117902,720.70,495.61,-437.01,-0.91,-4.88,-0.30,34.21
26,32121959,721.68,498.05,-437.99,-0.79,-5.00,-0.12,34.02
27,32126008,725.10,493.16,-438.48,-0.24,-5.24,0.12,34.31
28,32131803,724.12,501.46,-440.92,0.06,-5.43,0.24,34.31
29,32135852,727.54,503.42,-444.34,0.30,-5.98,0.30,34.31
30,32139902,729.98,508.30,-441.41,0.24,-6.28,0.12,34.40
31,32143959,735.35,516.11,-446.29,0.37,-6.10,0.18,34.02
32,32148008,739.26,515.14,-445.31,-0.12,-5.55,-0.49,34.21
33,32153803,735.84,515.14,-445.31,-0.49,-5.30,-1.04,34.21
34,32157852,740.72,513.67,-443.85,-1.40,-4.39,-1.46,34.16
35,32161902,739.75,517.09,-444.34,-1.46,-3.96,-1.83,34.21
36,32165959,732.42,523.93,-446.78,-1.40,-4.45,-2.07,34.31
37,32170008,729.00,523.93,-453.12,-1.16,-4.15,-1.95,34.21
38,32175803,722.66,510.74,-443.36,-2.01,-3.35,-1.95,33.78
39,32179852,723.14,508.30,-434.57,-2.07,-2.87,-2.01,34.02
40,32183902,718.26,517.09,-442.38,-2.13,-3.54,-2.26,34.36
41,32187959,716.31,513.18,-449.22,-1.28,-5.00,-2.32,34.02
42,32192008,706.54,498.54,-454.10,-1.04,-6.46,-1.71,34.02
43,32197803,705.08,485.84,-459.96,-0.30,-7.20,-1.16,33.97
44,32201852,707.03,487.30,-437.99,-0.85,-7.26,-1.10,33.83
45,32205902,712.89,495.61,-435.06,-0.49,-8.35,-1.10,34.12
46,32209959,720.21,501.46,-452.64,0.00,-9.39,-1.83,34.31
47,32214008,723.63,489.26,-458.50,0.24,-9.94,-1.46,33.97
48,32219803,725.10,480.96,-459.96,0.55,-10.30,-0.67,33.97
49,32223852,724.61,494.63,-451.66,1.10,-10.98,-0.24,34.02
50,32227902,734.86,495.61,-452.64,1.22,-11.46,-0.61,34.36
51,32231959,746.09,492.68,-452.15,1.40,-11.59,-1.04,34.21
52,32236008,748.05,501.46,-453.12,1.59,-11.59,-1.40,33.88
53,32241803,753.91,499.02,-448.24,1.77,-11.52,-1.40,34.21
54,32245852,753.42,501.95,-440.92,1.28,-10.67,-1.77,34.16
55,32249902,758.79,503.42,-438.48,1.04,-9.51,-2.38,34.31
56,32253959,760.74,504.88,-432.13,0.37,-7.68,-2.74,34.31
57,32258008,755.86,508.30,-431.64,0.00,-6.28,-3.17,34.21
58,32263803,750.00,498.54,-430.18,0.00,-5.00,-3.17,34.31
59,32267852,744.14,496.58,-437.01,-0.12,-3.54,-3.17,34.21
60,32271902,740.72,492.19,-432.13,-0.24,-2.93,-3.35,34.31
61,32275959,738.77,492.19,-435.55,-0.24,-2.62,-3.48,34.21
62,32280008,739.75,496.09,-435.06,-0.37,-2.26,-3.60,34.31
63,32285803,733.89,492.19,-433.59,-0.55,-2.01,-3.35,34.31
64,32289852,728.52,486.33,-434.08,-0.37,-1.95,-2.62,34.21
65,32293902,724.12,482.42,-434.08,-0.30,-1.77,-2.38,34.02
66,32297959,722.17,483.89,-431.64,-0.61,-2.01,-2.26,34.02
67,32303803,720.21,487.79,-434.57,-0.30,-2.32,-2.13,34.21
68,32307852,723.14,483.40,-439.45,0.06,-3.23,-1.65,34.21
69,32311902,726.56,481.45,-440.92,0.12,-3.78,-1.52,33.97
70,32315959,727.54,485.84,-441.41,0.24,-3.90,-1.16,34.12
71,32320008,728.03,494.63,-437.99,0.12,-3.72,-1.10,34.21
72,32325803,732.42,493.16,-434.57,-0.12,-2.99,-1.34,34.12
73,32329852,737.30,486.33,-437.01,-0.12,-2.20,-1.40,34.21
74,32333902,732.42,488.77,-437.01,-0.18,-1.95,-1.16,34.21
75,32337959,734.86,487.30,-442.38,-0.37,-1.83,-1.28,33.88
76,32342008,733.89,487.30,-446.78,0.06,-1.65,-1.22,34.36
77,32347803,727.54,485.35,-439.45,-0.24,-1.28,-1.34,34.36
78,32351852,727.05,481.45,-438.96,0.12,-1.28,-0.85,34.12
79,32355902,729.00,482.42,-437.50,0.12,-1.10,-1.16,34.40
80,32359959,727.05,480.47,-435.55,0.24,-1.28,-1.04,33.88
81,32364008,724.61,474.61,-438.96,0.43,-1.52,-0.67,34.12
82,32369803,726.56,476.07,-440.92,0.79,-2.20,-0.73,34.21
83,32373852,728.52,480.96,-442.38,1.16,-2.93,-0.24,34.31
