seq,timestamp_us,ax_mg,ay_mg,az_mg,gx_dps,gy_dps,gz_dps,temp_c
0,11091788,-661.62,-21.97,-742.68,-0.61,-0.43,0.18,30.28
1,11095852,-659.18,-20.51,-743.65,-0.61,-0.30,0.30,29.99
2,11099902,-658.69,-20.02,-745.61,-0.61,-0.30,0.30,29.99
3,11103960,-663.09,-26.37,-744.63,-0.49,-0.67,0.37,30.67
4,11108010,-658.69,-19.53,-740.23,-0.73,-0.61,0.18,30.43
5,11112060,-660.64,-19.53,-746.09,-0.67,-0.43,0.18,30.33
6,11116109,-660.64,-19.53,-746.09,-0.49,-0.73,0.49,30.19
7,11120159,-658.69,-23.44,-750.98,-0.67,-0.67,0.43,30.33
8,11124209,-661.62,-21.97,-742.68,-0.61,-0.67,0.24,30.33
9,11128259,-658.69,-24.41,-746.09,-0.91,-0.55,0.37,30.09
10,11132310,-657.71,-19.53,-744.63,-0.91,-0.79,0.37,30.43
11,11136360,-663.09,-20.51,-740.23,-0.55,-0.85,0.24,30.33
12,11141799,-660.64,-23.44,-743.65,-0.55,-0.49,0.24,30.33
13,11145849,-661.62,-24.90,-743.65,-0.43,-0.67,0.18,30.33
14,11149899,-664.55,-21.97,-744.14,-0.49,-0.67,0.12,30.19
15,11153957,-659.67,-19.53,-741.70,-0.55,-0.55,0.37,30.19
16,11159799,-658.20,-22.95,-744.14,-0.49,-0.37,0.06,30.19
17,11163849,-664.55,-20.51,-750.98,-0.49,-0.49,0.12,30.09
18,11167899,-661.13,-20.51,-749.51,-0.85,-0.49,0.12,30.33
19,11171957,-665.04,-23.93,-741.70,-0.79,-0.24,0.06,30.33
20,11176007,-658.69,-24.41,-748.54,-0.67,-0.24,0.24,30.33
21,11181799,-660.16,-21.00,-743.65,-0.73,-0.49,0.12,30.19
22,11185849,-663.57,-24.41,-747.07,-0.73,-0.37,0.12,30.47
23,11189899,-662.11,-21.48,-745.12,-0.55,-0.37,0.06,30.33
24,11193957,-661.13,-22.46,-745.61,-0.79,-0.61,0.18,30.33
25,11198007,-665.04,-22.46,-743.65,-0.55,-0.91,0.30,30.19
26,11203799,-660.16,-23.93,-746.09,-0.73,-0.30,0.18,30.33
27,11207849,-662.60,-20.51,-743.65,-0.79,-1.16,0.49,29.99
28,11211899,-661.13,-19.53,-745.61,-0.79,-1.04,0.18,30.09
29,11215957,-660.64,-20.02,-738.77,-0.61,-0.67,0.06,30.33
30,11221799,-660.16,-21.00,-745.12,-0.49,-0.55,0.12,30.62
31,11225849,-665.53,-22.95,-743.65,-0.61,-1.16,0.43,29.90
32,11229899,-658.20,-22.46,-743.16,-0.73,-0.67,0.30,30.33
33,11233957,-660.16,-24.90,-742.19,-0.55,-0.73,0.18,30.19
34,11238007,-666.50,-21.97,-745.61,-0.61,-1.16,0.30,30.33
35,11243799,-662.11,-21.48,-748.54,-0.73,-1.65,0.30,30.33
36,11247849,-662.11,-23.44,-746.58,-0.79,-1.71,0.06,30.28
37,11251899,-660.64,-21.48,-746.58,-0.85,-1.77,0.18,30.28
38,11255957,-662.60,-25.39,-746.09,-0.55,-1.59,0.12,30.33
39,11260007,-660.16,-18.07,-746.58,-0.61,-1.71,0.18,30.33
40,11265799,-662.11,-25.88,-744.14,-0.67,-1.16,0.24,29.80
41,11269849,-667.48,-17.58,-742.68,-0.61,-1.10,0.37,30.33
42,11273899,-662.11,-16.11,-745.61,-0.67,-1.04,0.30,30.62
43,11277957,-659.18,-21.00,-742.68,-0.61,-0.67,0.12,30.33
44,11282007,-660.64,-20.51,-746.09,-0.67,-0.49,0.24,29.95
45,11287799,-662.60,-19.53,-742.68,-0.61,-0.85,0.24,30.28
46,11291849,-654.30,-22.95,-737.30,-0.91,-0.43,0.18,30.19
47,11295899,-667.97,-25.88,-748.05,-0.98,-0.06,-0.06,30.47
48,11299957,-667.48,-21.48,-747.07,-0.61,-0.06,0.37,30.67
49,11304007,-666.99,-20.02,-745.12,-0.61,-0.24,0.12,30.19
50,11309799,-664.55,-20.02,-745.61,-0.79,0.43,0.30,30.33
51,11313849,-658.69,-23.93,-748.05,-0.67,0.12,0.12,30.33
52,11317899,-663.09,-24.90,-744.63,-0.73,-0.73,0.06,30.33
53,11321957,-662.60,-20.51,-744.63,-0.67,-1.10,0.12,30.47
54,11326007,-659.18,-24.41,-742.68,-0.73,-1.22,0.43,29.99
55,11331799,-660.16,-24.90,-748.05,-0.67,-1.28,0.37,30.47
56,11335849,-661.62,-22.46,-743.16,-0.79,-1.46,0.18,30.52
57,11339899,-659.67,-23.44,-744.63,-0.73,-1.10,0.30,30.33
58,11343957,-661.62,-23.44,-745.12,-0.49,-0.98,0.37,30.47
59,11348007,-662.11,-22.46,-746.58,-0.55,-0.67,0.43,30.43
60,11353799,-661.62,-17.09,-741.21,-0.55,-0.73,0.24,30.43
61,11357849,-664.06,-22.95,-742.68,-0.67,-0.79,0.43,30.28
62,11361899,-661.62,-20.02,-750.98,-0.55,-0.61,0.49,29.95
63,11365957,-654.79,-19.53,-740.72,-0.55,-1.46,0.12,30.43
64,11370007,-659.18,-25.39,-745.12,-0.49,-1.83,0.12,30.33
65,11375799,-661.13,-21.97,-746.58,-0.49,-2.07,0.30,30.33
